,Overall,0,1,p,test,Missing
sbp_admission (median [IQR]),"96.50 [86.00, 106.75]","99.00 [91.00, 106.00]","93.00 [85.00, 107.00]",0.151,nonnorm,0
dbp_admission (median [IQR]),"51.00 [45.25, 58.00]","53.00 [49.00, 61.00]","50.00 [39.00, 57.00]",0.053,nonnorm,0
rrt = 1 (%),24 (32.4),7 (21.2),17 (41.5),0.11,,0
rrt_hemodialysis = 1 (%),11 (28.2),6 (46.2),5 (19.2),0.166,,47.3
initial_rrt = 2 (%),17 (70.8),2 (28.6),15 (88.2),0.009,exact,67.6
icu_admission = 1 (%),55 (74.3),20 (60.6),35 (85.4),0.031,,0
hrs_vasoconstrictor = 1 (%),28 (37.8),9 (27.3),19 (46.3),0.15,,0
pressor = 1 (%),34 (45.9),9 (27.3),25 (61.0),0.008,,0
intubated = 1 (%),35 (47.3),10 (30.3),25 (61.0),0.017,,0
respiratory_failure (%),,,,0.029,exact,0
1,34 (45.9),9 (27.3),25 (61.0),,,
2,6 (8.1),4 (12.1),2 (4.9),,,
3,11 (14.9),7 (21.2),4 (9.8),,,
4,8 (10.8),3 (9.1),5 (12.2),,,
5,15 (20.3),10 (30.3),5 (12.2),,,
liver_transplant_listed = 1 (%),5 (6.8),5 (15.2),0 (0.0),0.015,exact,0
liver_transplant = 1 (%),3 (9.7),3 (23.1),0 (0.0),0.064,exact,58.1
kidney_transplant = 0 (%),74 (100.0),33 (100.0),41 (100.0),NA,exact,0
palliative_care = 1 (%),20 (27.4),6 (18.8),14 (34.1),0.231,,1.4
discharge_disposition (%),,,,<0.001,exact,0
1,30 (40.5),0 (0.0),30 (73.2),,,
2,22 (29.7),18 (54.5),4 (9.8),,,
3,12 (16.2),12 (36.4),0 (0.0),,,
4,10 (13.5),3 (9.1),7 (17.1),,,
code_status (%),,,,<0.001,exact,0
1,27 (36.5),23 (69.7),4 (9.8),,,
2,29 (39.2),8 (24.2),21 (51.2),,,
3,18 (24.3),2 (6.1),16 (39.0),,,
Akin (%),,,,0.008,,5.4
1,17 (24.3),12 (36.4),5 (13.5),,,
2,14 (20.0),9 (27.3),5 (13.5),,,
3,39 (55.7),12 (36.4),27 (73.0),,,
final_type_of_aki (%),,,,0.284,exact,0
1,21 (28.4),13 (39.4),8 (19.5),,,
2,11 (14.9),3 (9.1),8 (19.5),,,
3,32 (43.2),12 (36.4),20 (48.8),,,
4,5 (6.8),2 (6.1),3 (7.3),,,
5,5 (6.8),3 (9.1),2 (4.9),,,
MELD_baseline (median [IQR]),"22.50 [17.75, 30.25]","20.00 [15.50, 27.00]","24.00 [20.00, 32.00]",0.041,nonnorm,8.1
MELD_Na_baseline (median [IQR]),"26.50 [19.75, 33.00]","23.00 [18.00, 30.00]","29.00 [23.00, 34.00]",0.033,nonnorm,8.1
site (%),,,,0.007,exact,0
   baylor,5 (6.8),4 (12.1),1 (2.4),,,
   indiana,1 (1.4),0 (0.0),1 (2.4),,,
   jacksonville,3 (4.1),2 (6.1),1 (2.4),,,
   kentukey,25 (33.8),8 (24.2),17 (41.5),,,
   MCW,1 (1.4),0 (0.0),1 (2.4),,,
   mgh,23 (31.1),12 (36.4),11 (26.8),,,
   michigan,5 (6.8),5 (15.2),0 (0.0),,,
   oschner,6 (8.1),0 (0.0),6 (14.6),,,
   rochester,5 (6.8),2 (6.1),3 (7.3),,,
AKI_responders (%),,,,0.001,exact,5.4
   complete response,23 (32.9),18 (54.5),5 (13.5),,,
   no response,39 (55.7),12 (36.4),27 (73.0),,,
   partial response,8 (11.4),3 (9.1),5 (13.5),,,
clif_score (median [IQR]),"10.00 [9.00, 12.00]","9.00 [8.00, 11.00]","11.00 [10.00, 12.00]",0.006,nonnorm,0
MAP (median [IQR]),"65.83 [58.42, 75.33]","68.33 [63.33, 76.00]","62.33 [56.00, 73.67]",0.05,nonnorm,0
CLIF_C_Score (median [IQR]),"53.01 [47.46, 58.54]","49.12 [44.84, 56.20]","56.21 [50.47, 61.30]",0.012,nonnorm,0
aclf_grade (%),,,,0.031,exact,0
1,8 (10.8),6 (18.2),2 (4.9),,,
2,14 (18.9),9 (27.3),5 (12.2),,,
3,52 (70.3),18 (54.5),34 (82.9),,,
status_90days (median [IQR]),"1.00 [0.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]",<0.001,nonnorm,0
time_90days (median [IQR]),"12.00 [6.25, 26.50]","20.00 [12.00, 90.00]","7.00 [4.00, 15.00]",<0.001,nonnorm,0
Encephalopathy = 1 (%),14 (18.9),3 (9.1),11 (26.8),0.074,exact,0
Alcoholic_hepatitis = 1 (%),3 (4.1),0 (0.0),3 (7.3),0.249,exact,0
HCC = 1 (%),1 (1.4),0 (0.0),1 (2.4),1,exact,0
New_diagnosis_of_cirrhosis = 1 (%),4 (5.4),1 (3.0),3 (7.3),0.624,exact,0
Transplant_evalutation = 1 (%),9 (12.2),3 (9.1),6 (14.6),0.723,exact,0
SBP = 0 (%),74 (100.0),33 (100.0),41 (100.0),NA,,0
aki_stage_4 (%),,,,0.022,,5.4
1,17 (24.3),12 (36.4),5 (13.5),,,
2,14 (20.0),9 (27.3),5 (13.5),,,
3,15 (21.4),5 (15.2),10 (27.0),,,
4,24 (34.3),7 (21.2),17 (45.9),,,
death_discharge = 1 (%),31 (42.5),0 (0.0),31 (77.5),<0.001,,1.4
baseline_creatinine (median [IQR]),"1.12 [0.90, 1.41]","1.12 [0.96, 1.40]","1.14 [0.83, 1.48]",0.903,nonnorm,58.1
