,Overall,Black or African American,Other,White,p,test,Missing
inr_admit (median [IQR]),"1.60 [1.30, 2.10]","1.60 [1.20, 2.10]","1.65 [1.30, 2.24]","1.60 [1.30, 2.10]",0.242,nonnorm,2
wbc_admit (median [IQR]),"8.60 [6.00, 12.90]","7.90 [5.68, 11.64]","8.10 [5.40, 12.72]","8.78 [6.09, 13.02]",0.047,nonnorm,0
hct_admit (median [IQR]),"29.60 [25.00, 34.85]","29.00 [24.17, 35.82]","29.10 [23.75, 33.20]","29.80 [25.20, 34.90]",0.055,nonnorm,0
plt_admit (median [IQR]),"114.00 [73.00, 172.00]","125.50 [76.00, 180.75]","102.00 [66.50, 156.50]","114.00 [74.00, 173.00]",0.045,nonnorm,0
urine_sodium (median [IQR]),"20.00 [16.00, 43.25]","26.00 [20.00, 49.50]","20.00 [20.00, 39.00]","20.00 [15.00, 43.50]",0.035,nonnorm,36.4
fena (median [IQR]),"0.35 [0.16, 0.98]","0.37 [0.16, 1.17]","0.34 [0.18, 0.65]","0.35 [0.16, 0.98]",0.724,nonnorm,44.3
he_grade_admission (%),,,,,0.012,,2.8
1,1192 (59.4),89 (52.0),112 (53.3),991 (61.0),,,
2,304 (15.2),31 (18.1),28 (13.3),245 (15.1),,,
3,246 (12.3),21 (12.3),29 (13.8),196 (12.1),,,
4,198 (9.9),23 (13.5),27 (12.9),148 (9.1),,,
5,66 (3.3),7 (4.1),14 (6.7),45 (2.8),,,
sbp_admission (median [IQR]),"99.00 [88.00, 111.00]","102.00 [90.00, 118.00]","98.00 [87.00, 109.00]","98.00 [87.00, 111.00]",0.015,nonnorm,0
dbp_admission (median [IQR]),"53.00 [47.00, 61.00]","57.50 [50.75, 67.25]","53.00 [47.00, 59.00]","53.00 [46.00, 60.00]",<0.001,nonnorm,0
rrt = 1 (%),374 (18.2),32 (18.2),71 (33.6),271 (16.2),<0.001,,0.2
rrt_hemodialysis = 1 (%),170 (31.8),10 (22.7),33 (45.2),127 (30.4),0.017,,74.1
initial_rrt = 2 (%),264 (71.0),24 (77.4),57 (81.4),183 (67.5),0.052,,82
icu_admission = 1 (%),963 (46.7),75 (42.6),115 (54.5),773 (46.2),0.038,,0.1
hrs_vasoconstrictor = 1 (%),788 (38.2),54 (30.7),100 (47.4),634 (37.9),0.003,,0.1
pressor = 1 (%),614 (29.8),51 (29.0),77 (36.5),486 (29.0),0.08,,0.1
intubated = 1 (%),551 (26.7),45 (25.6),63 (30.0),443 (26.4),0.513,,0.1
respiratory_failure (%),,,,,0.022,,0.7
1,454 (22.2),38 (21.6),56 (26.5),360 (21.7),,,
2,81 (4.0),9 (5.1),5 (2.4),67 (4.0),,,
3,293 (14.3),22 (12.5),29 (13.7),242 (14.6),,,
4,321 (15.7),43 (24.4),25 (11.8),253 (15.2),,,
5,899 (43.9),64 (36.4),96 (45.5),739 (44.5),,,
