,Overall,Hispanic,Non-Hispanic,Unknown,p,test,Missing
wbc_admit (median [IQR]),"8.60 [6.00, 12.90]","7.60 [5.19, 10.80]","8.60 [6.00, 12.90]","11.89 [7.23, 16.20]",<0.001,nonnorm,0
hct_admit (median [IQR]),"29.60 [25.00, 34.85]","31.00 [25.00, 35.25]","29.40 [25.00, 34.80]","29.70 [25.83, 33.42]",0.582,nonnorm,0
plt_admit (median [IQR]),"114.00 [73.00, 172.00]","103.00 [64.25, 170.00]","114.00 [74.00, 172.00]","128.00 [83.25, 179.00]",0.162,nonnorm,0
urine_sodium (median [IQR]),"20.00 [16.00, 43.25]","24.00 [20.00, 57.00]","20.00 [16.00, 42.00]","20.00 [20.00, 44.50]",0.217,nonnorm,36.4
fena (median [IQR]),"0.35 [0.16, 0.98]","0.37 [0.18, 1.37]","0.35 [0.16, 0.98]","0.38 [0.18, 0.72]",0.551,nonnorm,44.3
he_grade_admission (%),,,,,0.576,,2.8
1,1192 (59.4),110 (62.5),1039 (58.9),43 (64.2),,,
2,304 (15.2),28 (15.9),269 (15.3),7 (10.4),,,
3,246 (12.3),21 (11.9),220 (12.5),5 (7.5),,,
4,198 (9.9),12 (6.8),178 (10.1),8 (11.9),,,
5,66 (3.3),5 (2.8),57 (3.2),4 (6.0),,,
sbp_admission (median [IQR]),"99.00 [88.00, 111.00]","99.00 [88.00, 111.00]","99.00 [88.00, 112.00]","96.50 [86.00, 106.75]",0.446,nonnorm,0
dbp_admission (median [IQR]),"53.00 [47.00, 61.00]","53.00 [46.25, 61.75]","53.00 [47.00, 61.00]","51.00 [45.25, 58.00]",0.255,nonnorm,0
rrt = 1 (%),374 (18.2),43 (24.2),307 (17.0),24 (32.4),<0.001,,0.2
rrt_hemodialysis = 1 (%),170 (31.8),24 (54.5),135 (29.9),11 (28.2),0.003,,74.1
initial_rrt = 2 (%),264 (71.0),32 (74.4),215 (70.5),17 (70.8),0.868,,82
icu_admission = 1 (%),963 (46.7),80 (44.9),828 (45.8),55 (74.3),<0.001,,0.1
hrs_vasoconstrictor = 1 (%),788 (38.2),76 (42.7),684 (37.8),28 (37.8),0.44,,0.1
pressor = 1 (%),614 (29.8),51 (28.7),529 (29.2),34 (45.9),0.008,,0.1
intubated = 1 (%),551 (26.7),39 (22.0),477 (26.4),35 (47.3),<0.001,,0.1
respiratory_failure (%),,,,,<0.001,,0.7
1,454 (22.2),33 (18.6),387 (21.5),34 (45.9),,,
2,81 (4.0),5 (2.8),70 (3.9),6 (8.1),,,
3,293 (14.3),18 (10.2),264 (14.7),11 (14.9),,,
4,321 (15.7),30 (16.9),283 (15.7),8 (10.8),,,
5,899 (43.9),91 (51.4),793 (44.1),15 (20.3),,,
liver_transplant_listed = 1 (%),317 (15.4),31 (17.4),281 (15.5),5 (6.8),0.089,,0.1
liver_transplant = 1 (%),167 (26.6),21 (36.2),143 (26.6),3 (9.7),0.024,exact,69.6
kidney_transplant = 1 (%),27 (1.3),3 (1.7),24 (1.3),0 (0.0),0.712,exact,0
palliative_care = 1 (%),447 (21.7),19 (10.7),408 (22.5),20 (27.4),0.001,,0.1
discharge_disposition (%),,,,,<0.001,,0.3
1,389 (18.9),28 (15.7),331 (18.3),30 (40.5),,,
2,1067 (51.9),109 (61.2),936 (51.9),22 (29.7),,,
3,344 (16.7),31 (17.4),301 (16.7),12 (16.2),,,
4,257 (12.5),10 (5.6),237 (13.1),10 (13.5),,,
code_status (%),,,,,<0.001,,0.3
1,1309 (63.7),134 (75.3),1148 (63.6),27 (36.5),,,
2,428 (20.8),25 (14.0),374 (20.7),29 (39.2),,,
3,319 (15.5),19 (10.7),282 (15.6),18 (24.3),,,
Akin (%),,,,,0.161,,0.8
1,700 (34.2),54 (30.7),629 (34.9),17 (24.3),,,
2,471 (23.0),42 (23.9),415 (23.1),14 (20.0),,,
3,875 (42.8),80 (45.5),756 (42.0),39 (55.7),,,
final_type_of_aki (%),,,,,0.022,,0
1,914 (44.3),89 (50.0),804 (44.4),21 (28.4),,,
2,249 (12.1),22 (12.4),216 (11.9),11 (14.9),,,
3,628 (30.4),39 (21.9),557 (30.8),32 (43.2),,,
4,123 (6.0),9 (5.1),109 (6.0),5 (6.8),,,
5,149 (7.2),19 (10.7),125 (6.9),5 (6.8),,,
MELD_baseline (median [IQR]),"22.00 [16.75, 29.00]","21.00 [16.00, 29.00]","22.00 [17.00, 29.00]","22.50 [17.75, 30.25]",0.486,nonnorm,3.1
MELD_Na_baseline (median [IQR]),"26.00 [19.00, 31.00]","25.00 [19.00, 31.00]","26.00 [19.00, 31.00]","26.50 [19.75, 33.00]",0.491,nonnorm,3.1
site (%),,,,,<0.001,,0
   baylor,220 (10.7),45 (25.3),170 (9.4),5 (6.8),,,
   indiana,223 (10.8),7 (3.9),215 (11.9),1 (1.4),,,
   jacksonville,112 (5.4),8 (4.5),101 (5.6),3 (4.1),,,
   kentukey,195 (9.5),1 (0.6),169 (9.3),25 (33.8),,,
   MCW,126 (6.1),9 (5.1),116 (6.4),1 (1.4),,,
   mgh,385 (18.7),33 (18.5),329 (18.2),23 (31.1),,,
   michigan,163 (7.9),7 (3.9),151 (8.3),5 (6.8),,,
   oschner,129 (6.3),5 (2.8),118 (6.5),6 (8.1),,,
   rochester,256 (12.4),12 (6.7),239 (13.2),5 (6.8),,,
   usc,65 (3.2),30 (16.9),35 (1.9),0 (0.0),,,
   yale,189 (9.2),21 (11.8),168 (9.3),0 (0.0),,,
AKI_responders (%),,,,,0.139,,0.8
   complete response,863 (42.2),66 (37.5),774 (43.0),23 (32.9),,,
   no response,883 (43.2),84 (47.7),760 (42.2),39 (55.7),,,
   partial response,300 (14.7),26 (14.8),266 (14.8),8 (11.4),,,
clif_score (median [IQR]),"9.00 [8.00, 11.00]","9.00 [7.25, 10.00]","9.00 [8.00, 11.00]","10.00 [9.00, 12.00]",0.001,nonnorm,0
MAP (median [IQR]),"69.00 [60.67, 77.00]","69.50 [59.92, 77.00]","69.00 [60.67, 77.33]","65.83 [58.42, 75.33]",0.255,nonnorm,0
CLIF_C_Score (median [IQR]),"48.84 [42.41, 55.66]","45.56 [39.57, 53.52]","48.95 [42.72, 55.67]","53.01 [47.46, 58.54]",<0.001,nonnorm,0
aclf_grade (%),,,,,0.062,,0
1,306 (14.8),31 (17.4),267 (14.7),8 (10.8),,,
2,617 (29.9),58 (32.6),545 (30.1),14 (18.9),,,
3,1140 (55.3),89 (50.0),999 (55.2),52 (70.3),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","1.00 [0.00, 1.00]",0.011,nonnorm,0
time_90days (median [IQR]),"72.00 [16.00, 90.00]","90.00 [20.25, 90.00]","76.00 [16.00, 90.00]","12.00 [6.25, 26.50]",<0.001,nonnorm,0
Encephalopathy = 1 (%),392 (19.0),38 (21.3),340 (18.8),14 (18.9),0.705,,0
Alcoholic_hepatitis = 1 (%),69 (3.3),4 (2.2),62 (3.4),3 (4.1),0.66,exact,0
HCC = 1 (%),34 (1.6),5 (2.8),28 (1.5),1 (1.4),0.342,exact,0
New_diagnosis_of_cirrhosis = 1 (%),41 (2.0),3 (1.7),34 (1.9),4 (5.4),0.13,exact,0
Transplant_evalutation = 1 (%),135 (6.5),22 (12.4),104 (5.7),9 (12.2),<0.001,,0
SBP = 1 (%),84 (4.1),6 (3.4),78 (4.3),0 (0.0),0.164,,0
aki_stage_4 (%),,,,,0.003,,0.8
1,700 (34.2),54 (30.7),629 (34.9),17 (24.3),,,
2,471 (23.0),42 (23.9),415 (23.1),14 (20.0),,,
3,501 (24.5),37 (21.0),449 (24.9),15 (21.4),,,
4,374 (18.3),43 (24.4),307 (17.1),24 (34.3),,,
death_discharge = 1 (%),398 (19.4),27 (15.3),340 (18.9),31 (42.5),<0.001,,0.5
baseline_creatinine (median [IQR]),"1.10 [0.87, 1.37]","1.00 [0.81, 1.28]","1.10 [0.88, 1.38]","1.12 [0.90, 1.41]",0.099,nonnorm,17.6
