"","level","Overall","American Indian or Alaska Native","Asian","Black or African American","Native Hawaiian or Other Pacific Islander","Other","White","p","test","Missing"
"","1","122 (6.1)","0 (0.0)","2 (5.9)","8 (4.5)","0 (0.0)","21 (21.0)","91 (5.4)","","",""
"SBP (%)","0","1917 (95.9)","11 (91.7)","32 (94.1)","170 (96.6)","3 (100.0)","97 (97.0)","1604 (95.8)","0.913","","0.0"
"","1","82 (4.1)","1 (8.3)","2 (5.9)","6 (3.4)","0 (0.0)","3 (3.0)","70 (4.2)","","",""
"aki_stage_4 (%)","1","684 (34.5)","3 (27.3)","10 (29.4)","55 (31.2)","0 (0.0)","27 (27.3)","589 (35.4)","0.007","","0.7"
"","2","464 (23.4)","2 (18.2)","7 (20.6)","39 (22.2)","1 (33.3)","22 (22.2)","393 (23.6)","","",""
"","3","486 (24.5)","2 (18.2)","8 (23.5)","50 (28.4)","0 (0.0)","17 (17.2)","409 (24.6)","","",""
"","4","351 (17.7)","4 (36.4)","9 (26.5)","32 (18.2)","2 (66.7)","33 (33.3)","271 (16.3)","","",""
"death_in_90days_status (%)","0","1277 (63.9)","8 (66.7)","26 (76.5)","108 (61.4)","1 (33.3)","64 (64.0)","1070 (63.9)","0.539","","0.0"
"","1","722 (36.1)","4 (33.3)","8 (23.5)","68 (38.6)","2 (66.7)","36 (36.0)","604 (36.1)","","",""
"death_in_90days_time (median [IQR])","","90.00 [18.00, 90.00]","62.00 [15.00, 90.00]","90.00 [34.00, 90.00]","90.00 [15.00, 90.00]","8.00 [6.50, 49.00]","88.50 [24.75, 90.00]","90.00 [19.00, 90.00]","0.399","nonnorm","0.0"
"death_in_30days_status (%)","0","1513 (75.7)","10 (83.3)","27 (79.4)","125 (71.0)","1 (33.3)","78 (78.0)","1272 (76.0)","0.305","","0.0"
"","1","486 (24.3)","2 (16.7)","7 (20.6)","51 (29.0)","2 (66.7)","22 (22.0)","402 (24.0)","","",""
"death_in_30days_time (median [IQR])","","30.00 [18.00, 30.00]","30.00 [15.00, 30.00]","30.00 [27.00, 30.00]","30.00 [15.00, 30.00]","8.00 [6.50, 19.00]","30.00 [24.75, 30.00]","30.00 [19.00, 30.00]","0.429","nonnorm","0.0"
"death_in_60days_status (%)","0","1355 (67.8)","9 (75.0)","26 (76.5)","115 (65.3)","1 (33.3)","69 (69.0)","1135 (67.8)","0.602","","0.0"
"","1","644 (32.2)","3 (25.0)","8 (23.5)","61 (34.7)","2 (66.7)","31 (31.0)","539 (32.2)","","",""
"death_in_60days_time (median [IQR])","","60.00 [18.00, 60.00]","49.50 [15.00, 60.00]","60.00 [34.00, 60.00]","60.00 [15.00, 60.00]","8.00 [6.50, 34.00]","60.00 [24.75, 60.00]","60.00 [19.00, 60.00]","0.536","nonnorm","0.0"
"death_discharge (%)","0","1615 (81.2)","10 (83.3)","27 (79.4)","132 (75.4)","1 (33.3)","77 (77.8)","1368 (82.1)","0.076","","0.5"
"","1","375 (18.8)","2 (16.7)","7 (20.6)","43 (24.6)","2 (66.7)","22 (22.2)","299 (17.9)","","",""
"baseline_creatinine (median [IQR])","","1.10 [0.87, 1.37]","1.11 [0.74, 1.88]","1.10 [0.95, 1.31]","1.12 [0.90, 1.40]","0.77 [0.69, 0.79]","1.00 [0.80, 1.20]","1.10 [0.88, 1.38]","0.021","nonnorm","16.5"
"admission_route (%)","1","1506 (75.5)","7 (58.3)","27 (79.4)","151 (86.8)","3 (100.0)","70 (70.0)","1248 (74.6)","0.059","","0.2"
"","2","488 (24.4)","5 (41.7)","7 (20.6)","23 (13.2)","0 (0.0)","30 (30.0)","423 (25.3)","","",""
"","3","2 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","2 (0.1)","","",""
"los (median [IQR])","","9.00 [4.00, 16.00]","7.50 [4.00, 16.50]","8.00 [4.00, 16.50]","9.00 [5.00, 15.00]","8.00 [6.50, 10.00]","9.50 [5.00, 19.25]","8.00 [4.00, 16.00]","0.738","nonnorm","0.2"
