"","level","Overall","American Indian or Alaska Native","Asian","Black or African American","Native Hawaiian or Other Pacific Islander","Other","White","p","test","Missing"
"htn (%)","0","837 (41.9)","8 (66.7)","17 (50.0)","53 (30.1)","2 (66.7)","52 (52.0)","705 (42.1)","0.002","","0.1"
"","1","1161 (58.1)","4 (33.3)","17 (50.0)","123 (69.9)","1 (33.3)","48 (48.0)","968 (57.9)","","",""
"etiology_cirrhosis (%)","Alcohol","776 (38.8)","6 (50.0)","11 (32.4)","65 (36.9)","2 (66.7)","34 (34.0)","658 (39.3)","<0.001","","0.0"
"","HCV","227 (11.4)","2 (16.7)","0 (0.0)","51 (29.0)","0 (0.0)","13 (13.0)","161 (9.6)","","",""
"","Multifactorial","183 (9.2)","1 (8.3)","3 (8.8)","21 (11.9)","1 (33.3)","9 (9.0)","148 (8.8)","","",""
"","NASH","437 (21.9)","2 (16.7)","3 (8.8)","10 (5.7)","0 (0.0)","17 (17.0)","405 (24.2)","","",""
"","Other","376 (18.8)","1 (8.3)","17 (50.0)","29 (16.5)","0 (0.0)","27 (27.0)","302 (18.0)","","",""
"ascites_admission (%)","0","445 (22.3)","1 (8.3)","6 (17.6)","54 (30.7)","1 (33.3)","11 (11.1)","372 (22.2)","0.006","","0.1"
"","1","1553 (77.7)","11 (91.7)","28 (82.4)","122 (69.3)","2 (66.7)","88 (88.9)","1302 (77.8)","","",""
"encephalopathy_admission (%)","0","832 (41.7)","2 (16.7)","14 (41.2)","71 (40.3)","1 (33.3)","37 (37.0)","707 (42.3)","0.485","","0.1"
"","1","1165 (58.3)","10 (83.3)","20 (58.8)","105 (59.7)","2 (66.7)","63 (63.0)","965 (57.7)","","",""
"gi_bleed_admission (%)","0","1307 (65.4)","8 (66.7)","19 (55.9)","104 (59.1)","1 (33.3)","64 (64.0)","1111 (66.4)","0.242","","0.1"
"","1","690 (34.6)","4 (33.3)","15 (44.1)","72 (40.9)","2 (66.7)","36 (36.0)","561 (33.6)","","",""
"peritonitis_admission (%)","0","1715 (86.0)","10 (83.3)","27 (79.4)","155 (88.1)","2 (66.7)","84 (84.0)","1437 (86.0)","0.672","","0.2"
"","1","280 (14.0)","2 (16.7)","7 (20.6)","21 (11.9)","1 (33.3)","16 (16.0)","233 (14.0)","","",""
