"","Overall","Black or African American","White","p","test","Missing"
"urine_sodium (median [IQR])","21.00 [18.00, 46.00]","26.00 [20.00, 48.50]","20.00 [16.00, 46.00]","0.039","nonnorm","37.0"
"fena (median [IQR])","0.35 [0.16, 1.12]","0.37 [0.16, 1.12]","0.34 [0.16, 1.10]","0.671","nonnorm","43.3"
"he_grade_admission (%)","","","","0.414","","3.1"
"   1","284 (56.1)","89 (52.7)","195 (57.9)","","",""
"   2","87 (17.2)","30 (17.8)","57 (16.9)","","",""
"   3","68 (13.4)","21 (12.4)","47 (13.9)","","",""
"   4","49 (9.7)","22 (13.0)","27 (8.0)","","",""
"   5","18 (3.6)","7 (4.1)","11 (3.3)","","",""
"sbp_admission (median [IQR])","99.00 [87.00, 113.00]","102.00 [90.00, 118.00]","98.00 [84.00, 111.00]","0.003","nonnorm","0.0"
"dbp_admission (median [IQR])","55.00 [48.00, 62.00]","57.50 [51.00, 67.00]","53.00 [45.00, 60.00]","<0.001","nonnorm","0.0"
"rrt = 1 (%)","97 (18.6)","31 (17.8)","66 (19.0)","0.831","","0.2"
"rrt_hemodialysis = 1 (%)","35 (26.5)","10 (23.3)","25 (28.1)","0.704","","74.7"
"initial_rrt = 2 (%)","72 (75.0)","23 (76.7)","49 (74.2)","1.000","","81.6"
"icu_admission = 1 (%)","240 (46.0)","74 (42.5)","166 (47.7)","0.306","","0.0"
"hrs_vasoconstrictor = 1 (%)","192 (36.9)","52 (29.9)","140 (40.3)","0.025","","0.2"
"pressor = 1 (%)","163 (31.2)","50 (28.7)","113 (32.5)","0.442","","0.0"
"intubated = 1 (%)","147 (28.2)","44 (25.3)","103 (29.6)","0.353","","0.0"
"respiratory_failure (%)","","","","0.054","","0.6"
"   1","116 (22.4)","37 (21.3)","79 (22.9)","","",""
"   2","19 (3.7)","9 (5.2)","10 (2.9)","","",""
"   3","75 (14.5)","22 (12.6)","53 (15.4)","","",""
"   4","96 (18.5)","43 (24.7)","53 (15.4)","","",""
"   5","213 (41.0)","63 (36.2)","150 (43.5)","","",""
"liver_transplant_listed = 1 (%)","69 (13.2)","15 (8.6)","54 (15.5)","0.040","","0.0"
"liver_transplant = 1 (%)","33 (22.9)","7 (13.7)","26 (28.0)","0.083","","72.4"
"kidney_transplant = 1 (%)","5 (1.0)","4 (2.3)","1 (0.3)","0.044","exact","0.0"
"palliative_care = 1 (%)","113 (21.7)","41 (23.7)","72 (20.7)","0.501","","0.2"
"discharge_disposition (%)","","","","0.708","","0.4"
"   1","111 (21.3)","39 (22.5)","72 (20.7)","","",""
"   2","269 (51.7)","85 (49.1)","184 (53.0)","","",""
"   3","78 (15.0)","25 (14.5)","53 (15.3)","","",""
"   4","62 (11.9)","24 (13.9)","38 (11.0)","","",""
"code_status (%)","","","","0.852","","0.2"
"   1","336 (64.5)","111 (63.8)","225 (64.8)","","",""
"   2","95 (18.2)","34 (19.5)","61 (17.6)","","",""
"   3","90 (17.3)","29 (16.7)","61 (17.6)","","",""
"Akin (%)","","","","0.996","","0.8"
"   1","165 (31.9)","55 (31.6)","110 (32.0)","","",""
"   2","116 (22.4)","39 (22.4)","77 (22.4)","","",""
"   3","237 (45.8)","80 (46.0)","157 (45.6)","","",""
"final_type_of_aki (%)","","","","0.730","","0.0"
"   1","232 (44.4)","75 (43.1)","157 (45.1)","","",""
"   2","42 (8.0)","14 (8.0)","28 (8.0)","","",""
"   3","171 (32.8)","60 (34.5)","111 (31.9)","","",""
"   4","48 (9.2)","13 (7.5)","35 (10.1)","","",""
"   5","29 (5.6)","12 (6.9)","17 (4.9)","","",""
"MELD_baseline (median [IQR])","22.00 [16.00, 28.25]","22.00 [16.50, 28.00]","22.00 [16.00, 29.00]","0.951","nonnorm","2.7"
