"","level","Overall","White","Black or African American","Other","p","test","Missing"
"n","","1949","1634","172","143","","",""
"age_admission (median [IQR])","","62.00 [54.00, 69.00]","62.00 [54.00, 69.75]","62.00 [54.75, 68.00]","61.00 [52.00, 67.00]","0.294","nonnorm","0.0"
"sex (%)","1","1203 (61.8)","1014 (62.1)","108 (62.8)","81 (56.6)","0.419","","0.1"
"","2","745 (38.2)","619 (37.9)","64 (37.2)","62 (43.4)","","",""
"White (%)","0","315 (16.2)","0 (0.0)","172 (100.0)","143 (100.0)","<0.001","","0.0"
"","1","1634 (83.8)","1634 (100.0)","0 (0.0)","0 (0.0)","","",""
"race_cat_new (%)","White","1634 (83.8)","1634 (100.0)","0 (0.0)","0 (0.0)","<0.001","","0.0"
"","Black or African American","172 (8.8)","0 (0.0)","172 (100.0)","0 (0.0)","","",""
"","Other","143 (7.3)","0 (0.0)","0 (0.0)","143 (100.0)","","",""
"reason_for_admission (%)","1","924 (47.4)","769 (47.1)","71 (41.3)","84 (58.7)","0.002","","0.1"
"","2","180 (9.2)","163 (10.0)","10 (5.8)","7 (4.9)","","",""
"","3","844 (43.3)","701 (42.9)","91 (52.9)","52 (36.4)","","",""
"loop_diuretic (%)","0","712 (36.6)","589 (36.1)","73 (42.4)","50 (35.0)","0.237","","0.1"
"","1","1235 (63.4)","1043 (63.9)","99 (57.6)","93 (65.0)","","",""
"aldosterone_antagonist (%)","0","1034 (53.1)","864 (53.0)","99 (57.6)","71 (49.7)","0.356","","0.2"
"","1","912 (46.9)","767 (47.0)","73 (42.4)","72 (50.3)","","",""
"lactulose (%)","0","1074 (55.1)","902 (55.2)","99 (57.6)","73 (51.0)","0.502","","0.1"
"","1","874 (44.9)","731 (44.8)","73 (42.4)","70 (49.0)","","",""
"rifaximin (%)","0","1373 (70.5)","1138 (69.7)","131 (76.6)","104 (72.7)","0.140","","0.1"
"","1","574 (29.5)","495 (30.3)","40 (23.4)","39 (27.3)","","",""
"prophylactic_antibiotic (%)","0","1734 (89.0)","1448 (88.6)","157 (91.3)","129 (90.2)","0.505","","0.0"
"","1","215 (11.0)","186 (11.4)","15 (8.7)","14 (9.8)","","",""
"nsaids (%)","0","1753 (90.1)","1474 (90.3)","147 (86.0)","132 (92.3)","0.126","","0.2"
"","1","193 (9.9)","158 (9.7)","24 (14.0)","11 (7.7)","","",""
"beta_blockers (%)","0","1162 (59.6)","969 (59.3)","98 (57.0)","95 (66.4)","0.190","","0.0"
"","1","787 (40.4)","665 (40.7)","74 (43.0)","48 (33.6)","","",""
"albumin_given_admission (%)","0","651 (33.5)","543 (33.3)","72 (41.9)","36 (25.2)","0.007","","0.2"
"","1","1294 (66.5)","1087 (66.7)","100 (58.1)","107 (74.8)","","",""
"albumin_amount_admission (median [IQR])","","125.00 [75.00, 175.00]","122.25 [62.50, 175.00]","125.00 [75.00, 150.50]","112.50 [75.00, 150.00]","0.952","nonnorm","43.6"
"albumin_given_prior (%)","0","578 (85.0)","476 (85.2)","49 (90.7)","53 (79.1)","0.199","","65.1"
"","1","102 (15.0)","83 (14.8)","5 (9.3)","14 (20.9)","","",""
"diabetes (%)","0","1139 (58.5)","968 (59.3)","92 (53.8)","79 (55.6)","0.295","","0.2"
"","1","807 (41.5)","665 (40.7)","79 (46.2)","63 (44.4)","","",""
"cad (%)","0","1561 (80.1)","1301 (79.7)","137 (79.7)","123 (86.0)","0.187","","0.1"
"","1","387 (19.9)","332 (20.3)","35 (20.3)","20 (14.0)","","",""
"ckd (%)","0","1348 (69.4)","1129 (69.3)","110 (64.0)","109 (76.8)","0.049","","0.3"
"","1","595 (30.6)","500 (30.7)","62 (36.0)","33 (23.2)","","",""
"htn (%)","0","811 (41.6)","685 (41.9)","51 (29.7)","75 (52.4)","<0.001","","0.1"
"","1","1137 (58.4)","948 (58.1)","121 (70.3)","68 (47.6)","","",""
"etiology_cirrhosis (%)","Alcohol","755 (38.7)","641 (39.2)","63 (36.6)","51 (35.7)","<0.001","","0.0"
"","HCV","224 (11.5)","159 (9.7)","50 (29.1)","15 (10.5)","","",""
"","Multifactorial","180 (9.2)","145 (8.9)","21 (12.2)","14 (9.8)","","",""
"","NASH","427 (21.9)","396 (24.2)","10 (5.8)","21 (14.7)","","",""
"","Other","363 (18.6)","293 (17.9)","28 (16.3)","42 (29.4)","","",""
"ascites_admission (%)","0","433 (22.2)","363 (22.2)","52 (30.2)","18 (12.6)","0.001","","0.0"
"","1","1516 (77.8)","1271 (77.8)","120 (69.8)","125 (87.4)","","",""
"encephalopathy_admission (%)","0","812 (41.7)","692 (42.4)","68 (39.5)","52 (36.4)","0.311","","0.1"
"","1","1135 (58.3)","940 (57.6)","104 (60.5)","91 (63.6)","","",""
"gi_bleed_admission (%)","0","1275 (65.5)","1085 (66.5)","101 (58.7)","89 (62.2)","0.088","","0.1"
"","1","672 (34.5)","547 (33.5)","71 (41.3)","54 (37.8)","","",""
"peritonitis_admission (%)","0","1670 (85.9)","1402 (86.0)","151 (87.8)","117 (81.8)","0.289","","0.2"
"","1","275 (14.1)","228 (14.0)","21 (12.2)","26 (18.2)","","",""
"hcc_admission (%)","0","1724 (88.5)","1457 (89.2)","148 (86.0)","119 (83.2)","0.056","","0.1"
"","1","224 (11.5)","176 (10.8)","24 (14.0)","24 (16.8)","","",""
"tips_admission (%)","0","1787 (91.8)","1487 (91.2)","166 (96.5)","134 (93.7)","0.036","","0.2"
"","1","159 (8.2)","144 (8.8)","6 (3.5)","9 (6.3)","","",""
"lvp_admission (%)","0","1312 (67.5)","1104 (67.7)","118 (68.6)","90 (62.9)","0.475","","0.2"
"","1","633 (32.5)","526 (32.3)","54 (31.4)","53 (37.1)","","",""
"alcoholic_hepatitis_admission (%)","0","1674 (85.9)","1400 (85.7)","148 (86.0)","126 (88.1)","0.734","","0.1"
"","1","274 (14.1)","233 (14.3)","24 (14.0)","17 (11.9)","","",""
"na_admit (median [IQR])","","134.00 [130.00, 138.00]","134.00 [130.00, 138.00]","135.00 [132.00, 139.00]","134.00 [130.00, 138.00]","0.029","nonnorm","0.0"
"k_admit (median [IQR])","","4.40 [3.80, 5.00]","4.40 [3.80, 5.00]","4.30 [3.70, 5.10]","4.50 [3.95, 5.10]","0.150","nonnorm","0.4"
"cl_admit (median [IQR])","","100.00 [95.00, 105.00]","100.00 [94.00, 104.75]","101.00 [96.75, 106.00]","101.00 [96.00, 105.00]","0.006","nonnorm","0.0"
"co2_admit (median [IQR])","","21.00 [18.00, 24.00]","21.00 [18.00, 24.00]","20.00 [18.00, 23.25]","20.00 [17.00, 23.50]","0.097","nonnorm","0.1"
"bun_admit (median [IQR])","","38.00 [24.00, 56.00]","39.00 [25.00, 56.00]","36.00 [20.00, 53.00]","37.00 [21.50, 54.50]","0.090","nonnorm","0.0"
"creatinine_admission (median [IQR])","","1.94 [1.50, 2.80]","1.94 [1.50, 2.80]","2.00 [1.63, 2.87]","1.93 [1.42, 2.71]","0.220","nonnorm","0.0"
"urine_creatinine (median [IQR])","","108.00 [68.00, 155.00]","107.00 [66.81, 154.45]","129.70 [77.05, 181.50]","91.00 [64.85, 125.40]","0.003","nonnorm","37.6"
"ca_admit (median [IQR])","","8.70 [8.20, 9.20]","8.70 [8.20, 9.10]","8.80 [8.10, 9.30]","8.60 [8.10, 9.10]","0.338","nonnorm","0.3"
"mg_admit (median [IQR])","","2.00 [1.70, 2.30]","2.00 [1.70, 2.30]","1.90 [1.70, 2.20]","2.00 [1.70, 2.30]","0.141","nonnorm","24.9"
"phos_admit (median [IQR])","","3.90 [3.10, 4.80]","3.90 [3.20, 4.88]","3.70 [2.85, 4.75]","3.90 [3.05, 4.90]","0.284","nonnorm","33.1"
"peak_creatinine (median [IQR])","","2.53 [1.92, 3.61]","2.50 [1.92, 3.57]","2.85 [2.10, 4.00]","2.42 [1.84, 3.55]","0.037","nonnorm","0.5"
"alt_admit (median [IQR])","","31.00 [20.00, 53.00]","31.00 [19.00, 53.00]","31.00 [20.00, 60.25]","31.00 [22.00, 53.00]","0.654","nonnorm","1.0"
"alkphos_admit (median [IQR])","","134.00 [94.00, 196.00]","133.00 [94.00, 194.00]","137.00 [93.00, 204.00]","136.00 [100.00, 205.50]","0.812","nonnorm","1.0"
"tb_admit (median [IQR])","","2.50 [1.10, 6.70]","2.50 [1.10, 6.70]","2.40 [1.10, 6.43]","3.10 [1.60, 8.40]","0.122","nonnorm","1.3"
"alb_admit (median [IQR])","","2.90 [2.50, 3.40]","2.90 [2.50, 3.40]","2.80 [2.30, 3.40]","2.90 [2.50, 3.60]","0.236","nonnorm","1.1"
"nh3_admit (median [IQR])","","59.00 [37.00, 95.75]","59.00 [37.00, 94.00]","60.00 [41.50, 108.00]","63.00 [33.00, 111.25]","0.337","nonnorm","50.4"
"inr_admit (median [IQR])","","1.60 [1.30, 2.10]","1.60 [1.30, 2.10]","1.60 [1.20, 2.10]","1.61 [1.30, 2.10]","0.448","nonnorm","2.0"
"wbc_admit (median [IQR])","","8.50 [5.98, 12.80]","8.68 [6.02, 12.90]","7.90 [5.68, 11.80]","7.57 [5.17, 12.05]","0.014","nonnorm","0.0"
"hct_admit (median [IQR])","","29.70 [25.00, 34.90]","29.80 [25.13, 35.00]","28.90 [24.17, 35.55]","29.30 [23.85, 33.40]","0.151","nonnorm","0.0"
"plt_admit (median [IQR])","","113.00 [73.00, 172.00]","113.00 [73.00, 172.00]","123.50 [75.75, 186.25]","93.00 [66.50, 154.00]","0.029","nonnorm","0.1"
"urine_sodium (median [IQR])","","20.00 [16.00, 44.00]","20.00 [15.00, 43.00]","26.00 [20.00, 50.00]","22.00 [20.00, 41.75]","0.014","nonnorm","36.5"
"fena (median [IQR])","","0.35 [0.16, 1.00]","0.35 [0.16, 0.98]","0.37 [0.16, 1.22]","0.37 [0.20, 0.89]","0.731","nonnorm","44.3"
"he_grade_admission (%)","1","1134 (59.7)","966 (60.8)","86 (51.5)","82 (57.3)","0.211","","2.6"
"","2","293 (15.4)","242 (15.2)","30 (18.0)","21 (14.7)","","",""
"","3","231 (12.2)","192 (12.1)","21 (12.6)","18 (12.6)","","",""
"","4","183 (9.6)","146 (9.2)","23 (13.8)","14 (9.8)","","",""
"","5","58 (3.1)","43 (2.7)","7 (4.2)","8 (5.6)","","",""
"sbp_admission (median [IQR])","","99.00 [88.00, 112.00]","98.00 [87.25, 111.00]","102.00 [90.00, 118.00]","97.00 [86.50, 108.50]","0.016","nonnorm","0.0"
"dbp_admission (median [IQR])","","53.00 [47.00, 61.00]","53.00 [46.00, 60.00]","58.00 [50.75, 68.25]","52.00 [47.00, 59.00]","<0.001","nonnorm","0.0"
"rrt (%)","0","1609 (82.7)","1370 (84.0)","141 (82.0)","98 (68.5)","<0.001","","0.2"
"","1","336 (17.3)","260 (16.0)","31 (18.0)","45 (31.5)","","",""
"rrt_hemodialysis (%)","0","327 (67.8)","271 (68.8)","33 (76.7)","23 (51.1)","0.024","","75.3"
"","1","155 (32.2)","123 (31.2)","10 (23.3)","22 (48.9)","","",""
"initial_rrt (%)","1","99 (29.6)","85 (32.7)","7 (23.3)","7 (15.9)","0.058","","82.9"
"","2","235 (70.4)","175 (67.3)","23 (76.7)","37 (84.1)","","",""
"icu_admission (%)","0","1065 (54.7)","892 (54.7)","101 (58.7)","72 (50.3)","0.330","","0.1"
"","1","882 (45.3)","740 (45.3)","71 (41.3)","71 (49.7)","","",""
"hrs_vasoconstrictor (%)","0","1213 (62.3)","1011 (61.9)","120 (69.8)","82 (57.3)","0.059","","0.1"
"","1","734 (37.7)","621 (38.1)","52 (30.2)","61 (42.7)","","",""
"pressor (%)","0","1387 (71.2)","1169 (71.6)","123 (71.5)","95 (66.4)","0.419","","0.1"
