,Overall,0,1,p,test,Missing
5,45 (2.8),20 (1.9),25 (4.4),,,
sbp_admission (median [IQR]),"98.00 [87.00, 111.00]","100.00 [89.00, 113.00]","95.00 [84.00, 107.00]",<0.001,nonnorm,0
dbp_admission (median [IQR]),"53.00 [46.00, 60.00]","54.00 [48.00, 61.00]","51.00 [43.00, 59.00]",<0.001,nonnorm,0
rrt = 1 (%),271 (16.2),105 (9.8),166 (27.5),<0.001,,0.2
rrt_hemodialysis = 1 (%),127 (30.4),72 (38.5),55 (23.8),0.002,,75.1
initial_rrt = 2 (%),183 (67.5),54 (51.4),129 (77.7),<0.001,,83.8
icu_admission = 1 (%),773 (46.2),385 (36.0),388 (64.2),<0.001,,0.1
hrs_vasoconstrictor = 1 (%),634 (37.9),327 (30.6),307 (50.7),<0.001,,0.1
pressor = 1 (%),486 (29.0),219 (20.5),267 (44.1),<0.001,,0.1
intubated = 1 (%),443 (26.4),189 (17.6),254 (42.1),<0.001,,0.1
respiratory_failure (%),,,,<0.001,,0.9
1,360 (21.7),127 (12.0),233 (38.8),,,
2,67 (4.0),35 (3.3),32 (5.3),,,
3,242 (14.6),153 (14.4),89 (14.8),,,
4,253 (15.2),178 (16.8),75 (12.5),,,
5,739 (44.5),568 (53.5),171 (28.5),,,
liver_transplant_listed = 1 (%),261 (15.6),215 (20.1),46 (7.6),<0.001,,0.1
liver_transplant = 1 (%),135 (27.0),133 (40.5),2 (1.2),<0.001,exact,70.2
kidney_transplant = 1 (%),18 (1.1),17 (1.6),1 (0.2),0.005,exact,0.1
palliative_care = 1 (%),369 (22.0),123 (11.5),246 (40.7),<0.001,,0
discharge_disposition (%),,,,<0.001,,0.3
1,293 (17.5),5 (0.5),288 (47.6),,,
2,875 (52.4),754 (70.7),121 (20.0),,,
3,287 (17.2),233 (21.9),54 (8.9),,,
4,216 (12.9),74 (6.9),142 (23.5),,,
code_status (%),,,,<0.001,,0.4
1,1072 (64.2),905 (84.7),167 (27.8),,,
2,340 (20.4),108 (10.1),232 (38.7),,,
3,257 (15.4),56 (5.2),201 (33.5),,,
Akin (%),,,,<0.001,,0.7
1,589 (35.4),463 (43.4),126 (21.1),,,
2,394 (23.7),266 (25.0),128 (21.4),,,
3,681 (40.9),337 (31.6),344 (57.5),,,
final_type_of_aki (%),,,,<0.001,,0
1,761 (45.4),594 (55.5),167 (27.6),,,
2,212 (12.6),108 (10.1),104 (17.2),,,
3,494 (29.5),232 (21.7),262 (43.3),,,
4,96 (5.7),74 (6.9),22 (3.6),,,
5,113 (6.7),63 (5.9),50 (8.3),,,
MELD_baseline (median [IQR]),"22.00 [16.00, 29.00]","20.00 [15.00, 27.00]","25.00 [20.00, 32.00]",<0.001,nonnorm,3.2
MELD_Na_baseline (median [IQR]),"25.00 [19.00, 31.00]","24.00 [18.00, 30.00]","28.00 [23.00, 34.00]",<0.001,nonnorm,3.2
site (%),,,,<0.001,,0
   baylor,173 (10.3),120 (11.2),53 (8.8),,,
   indiana,200 (11.9),98 (9.2),102 (16.9),,,
   jacksonville,98 (5.8),82 (7.7),16 (2.6),,,
   kentukey,178 (10.6),86 (8.0),92 (15.2),,,
   MCW,83 (5.0),47 (4.4),36 (6.0),,,
   mgh,310 (18.5),214 (20.0),96 (15.9),,,
   michigan,145 (8.7),105 (9.8),40 (6.6),,,
   oschner,84 (5.0),47 (4.4),37 (6.1),,,
   rochester,232 (13.8),162 (15.1),70 (11.6),,,
   usc,28 (1.7),19 (1.8),9 (1.5),,,
