"","Overall","HB","HW","NHB","NHW","NWNB","p","test","Missing"
"   jacksonville","105 (5.5)","0 (0.0)","8 (8.6)","7 (4.3)","87 (5.8)","3 (2.1)","","",""
"   kentukey","154 (8.1)","0 (0.0)","1 (1.1)","13 (7.9)","140 (9.4)","0 (0.0)","","",""
"   MCW","123 (6.5)","0 (0.0)","2 (2.2)","24 (14.6)","80 (5.4)","17 (12.1)","","",""
"   mgh","339 (17.9)","3 (60.0)","9 (9.7)","24 (14.6)","275 (18.4)","28 (19.9)","","",""
"   michigan","151 (8.0)","0 (0.0)","4 (4.3)","12 (7.3)","132 (8.9)","3 (2.1)","","",""
"   oschner","108 (5.7)","0 (0.0)","3 (3.2)","21 (12.8)","79 (5.3)","5 (3.5)","","",""
"   rochester","246 (13.0)","0 (0.0)","6 (6.5)","2 (1.2)","219 (14.7)","19 (13.5)","","",""
"   usc","65 (3.4)","0 (0.0)","10 (10.8)","2 (1.2)","18 (1.2)","35 (24.8)","","",""
"   yale","176 (9.3)","1 (20.0)","9 (9.7)","22 (13.4)","130 (8.7)","14 (9.9)","","",""
"AKI_responders (%)","","","","","","","0.128","","0.6"
"   complete response","794 (42.2)","3 (60.0)","36 (38.7)","62 (37.8)","648 (43.8)","45 (32.4)","","",""
"   no response","808 (42.9)","1 (20.0)","45 (48.4)","81 (49.4)","610 (41.2)","71 (51.1)","","",""
"   partial response","280 (14.9)","1 (20.0)","12 (12.9)","21 (12.8)","223 (15.1)","23 (16.5)","","",""
"clif_score (median [IQR])","9.00 [8.00, 11.00]","8.00 [7.00, 9.00]","9.00 [7.00, 10.00]","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 12.00]","0.103","nonnorm","0.0"
"MAP (median [IQR])","69.00 [60.67, 77.00]","64.33 [63.33, 75.67]","70.67 [60.67, 81.00]","73.17 [66.33, 81.42]","68.33 [60.33, 76.67]","68.67 [60.67, 75.00]","<0.001","nonnorm","0.0"
"CLIF_C_Score (median [IQR])","48.79 [42.43, 55.41]","38.70 [36.39, 52.32]","44.12 [39.27, 51.77]","47.35 [42.55, 55.00]","49.11 [43.01, 55.71]","48.32 [41.29, 56.31]","0.003","nonnorm","0.0"
"aclf_grade (%)","","","","","","","0.157","","0.0"
"   1","272 (14.4)","2 (40.0)","17 (18.3)","30 (18.3)","205 (13.7)","18 (12.8)","","",""
"   2","586 (30.9)","3 (60.0)","31 (33.3)","51 (31.1)","454 (30.4)","47 (33.3)","","",""
"   3","1036 (54.7)","0 (0.0)","45 (48.4)","83 (50.6)","832 (55.8)","76 (53.9)","","",""
"status_90days (median [IQR])","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.085","nonnorm","0.0"
"time_90days (median [IQR])","76.50 [17.00, 90.00]","90.00 [90.00, 90.00]","90.00 [22.00, 90.00]","76.50 [15.00, 90.00]","77.00 [17.00, 90.00]","51.00 [14.00, 90.00]","0.252","nonnorm","0.0"
"Encephalopathy = 1 (%)","364 (19.2)","0 (0.0)","22 (23.7)","36 (22.0)","276 (18.5)","30 (21.3)","0.403","","0.0"
"Alcoholic_hepatitis = 1 (%)","63 (3.3)","1 (20.0)","2 (2.2)","5 (3.0)","53 (3.6)","2 (1.4)","0.159","","0.0"
"HCC = 1 (%)","32 (1.7)","0 (0.0)","1 (1.1)","4 (2.4)","22 (1.5)","5 (3.5)","0.381","","0.0"
"New_diagnosis_of_cirrhosis = 1 (%)","37 (2.0)","0 (0.0)","0 (0.0)","2 (1.2)","29 (1.9)","6 (4.3)","0.177","","0.0"
"Transplant_evalutation = 1 (%)","117 (6.2)","0 (0.0)","10 (10.8)","8 (4.9)","76 (5.1)","23 (16.3)","<0.001","","0.0"
"SBP (median [IQR])","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.813","nonnorm","0.0"
"aki_stage_4 (%)","","","","","","","0.006","","0.6"
"   1","643 (34.2)","2 (40.0)","31 (33.3)","51 (31.1)","521 (35.2)","38 (27.3)","","",""
"   2","442 (23.5)","0 (0.0)","24 (25.8)","37 (22.6)","351 (23.7)","30 (21.6)","","",""
"   3","463 (24.6)","2 (40.0)","19 (20.4)","46 (28.0)","370 (25.0)","26 (18.7)","","",""
"   4","334 (17.7)","1 (20.0)","19 (20.4)","30 (18.3)","239 (16.1)","45 (32.4)","","",""
"death_discharge = 1 (%)","350 (18.6)","1 (20.0)","10 (10.8)","40 (24.5)","269 (18.1)","30 (21.4)","0.073","","0.5"
"baseline_creatinine (median [IQR])","1.10 [0.86, 1.36]","1.10 [0.90, 1.41]","1.02 [0.85, 1.48]","1.12 [0.90, 1.40]","1.10 [0.87, 1.37]","1.01 [0.80, 1.26]","0.119","nonnorm","15.7"
"admission_route (%)","","","","","","","0.092","","0.2"
"   1","1437 (76.0)","5 (100.0)","75 (80.6)","139 (85.8)","1116 (74.9)","102 (72.3)","","",""
"   2","452 (23.9)","0 (0.0)","18 (19.4)","23 (14.2)","372 (25.0)","39 (27.7)","","",""
"   3","2 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","2 (0.1)","0 (0.0)","","",""
"los (median [IQR])","9.00 [4.00, 16.00]","10.00 [4.00, 10.00]","8.00 [4.00, 16.00]","9.00 [5.00, 15.00]","9.00 [4.00, 16.00]","9.00 [5.00, 19.00]","0.632","nonnorm","0.1"
"rrt_crrt = 1 (%)","216 (50.7)","1 (100.0)","9 (64.3)","23 (56.1)","166 (47.8)","17 (73.9)","0.073","","77.5"
"days_icu (median [IQR])","4.00 [2.00, 9.00]","3.00 [3.00, 3.00]","4.00 [2.00, 9.25]","4.00 [1.50, 10.50]","4.00 [2.00, 9.00]","2.00 [1.00, 9.00]","0.786","nonnorm","54.2"
"readmissions (%)","","","","","","","0.157","","9.8"
"   0","949 (55.6)","3 (60.0)","22 (31.0)","92 (60.5)","774 (56.2)","58 (55.8)","","",""
"   1","393 (23.0)","1 (20.0)","26 (36.6)","28 (18.4)","308 (22.4)","30 (28.8)","","",""
"   2","184 (10.8)","0 (0.0)","11 (15.5)","18 (11.8)","150 (10.9)","5 (4.8)","","",""
"   3","95 (5.6)","0 (0.0)","5 (7.0)","8 (5.3)","79 (5.7)","3 (2.9)","","",""
"   4","45 (2.6)","1 (20.0)","4 (5.6)","4 (2.6)","34 (2.5)","2 (1.9)","","",""
"   5","26 (1.5)","0 (0.0)","3 (4.2)","2 (1.3)","19 (1.4)","2 (1.9)","","",""
"   6","6 (0.4)","0 (0.0)","0 (0.0)","0 (0.0)","4 (0.3)","2 (1.9)","","",""
"   7","4 (0.2)","0 (0.0)","0 (0.0)","0 (0.0)","3 (0.2)","1 (1.0)","","",""
"   8","1 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.1)","0 (0.0)","","",""
"   9","3 (0.2)","0 (0.0)","0 (0.0)","0 (0.0)","2 (0.1)","1 (1.0)","","",""
"   14","1 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.1)","0 (0.0)","","",""
"   15","1 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.1)","0 (0.0)","","",""
"cpr_given = 1 (%)","52 (2.9)","0 (0.0)","4 (4.8)","6 (3.7)","39 (2.7)","3 (2.8)","0.751","","3.9"
"race_cat_5 (%)","","","","","","","<0.001","","0.0"
"   HB","5 (0.3)","5 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"   HW","93 (4.9)","0 (0.0)","93 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"   NHB","164 (8.7)","0 (0.0)","0 (0.0)","164 (100.0)","0 (0.0)","0 (0.0)","","",""
"   NHW","1491 (78.7)","0 (0.0)","0 (0.0)","0 (0.0)","1491 (100.0)","0 (0.0)","","",""
"   NWNB","141 (7.4)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","141 (100.0)","","",""
