,Overall,Hispanic,Non-Hispanic,p,test,Missing
sbp_admission (median [IQR]),"99.00 [88.00, 112.00]","99.00 [88.00, 111.00]","99.00 [88.00, 112.00]",0.702,nonnorm,0
dbp_admission (median [IQR]),"53.00 [47.00, 61.00]","53.00 [46.25, 61.75]","53.00 [47.00, 61.00]",0.969,nonnorm,0
rrt = 1 (%),350 (17.6),43 (24.2),307 (17.0),0.022,,0.2
rrt_hemodialysis = 1 (%),159 (32.1),24 (54.5),135 (29.9),0.001,,75.1
initial_rrt = 2 (%),247 (71.0),32 (74.4),215 (70.5),0.725,,82.5
icu_admission = 1 (%),908 (45.7),80 (44.9),828 (45.8),0.895,,0.1
hrs_vasoconstrictor = 1 (%),760 (38.2),76 (42.7),684 (37.8),0.231,,0.1
pressor = 1 (%),580 (29.2),51 (28.7),529 (29.2),0.937,,0.1
intubated = 1 (%),516 (26.0),39 (22.0),477 (26.4),0.246,,0.1
respiratory_failure (%),,,,0.241,,0.8
1,420 (21.3),33 (18.6),387 (21.5),,,
2,75 (3.8),5 (2.8),70 (3.9),,,
3,282 (14.3),18 (10.2),264 (14.7),,,
4,313 (15.9),30 (16.9),283 (15.7),,,
5,884 (44.8),91 (51.4),793 (44.1),,,
liver_transplant_listed = 1 (%),312 (15.7),31 (17.4),281 (15.5),0.582,,0.1
liver_transplant = 1 (%),164 (27.5),21 (36.2),143 (26.6),0.16,,70
kidney_transplant = 1 (%),27 (1.4),3 (1.7),24 (1.3),0.729,exact,0.1
palliative_care = 1 (%),427 (21.5),19 (10.7),408 (22.5),<0.001,,0.1
discharge_disposition (%),,,,0.013,,0.3
1,359 (18.1),28 (15.7),331 (18.3),,,
2,1045 (52.7),109 (61.2),936 (51.9),,,
3,332 (16.7),31 (17.4),301 (16.7),,,
4,247 (12.5),10 (5.6),237 (13.1),,,
code_status (%),,,,0.008,,0.4
1,1282 (64.7),134 (75.3),1148 (63.6),,,
2,399 (20.1),25 (14.0),374 (20.7),,,
3,301 (15.2),19 (10.7),282 (15.6),,,
Akin (%),,,,0.512,,0.7
1,683 (34.6),54 (30.7),629 (34.9),,,
2,457 (23.1),42 (23.9),415 (23.1),,,
3,836 (42.3),80 (45.5),756 (42.0),,,
final_type_of_aki (%),,,,0.065,,0
1,893 (44.9),89 (50.0),804 (44.4),,,
2,238 (12.0),22 (12.4),216 (11.9),,,
3,596 (30.0),39 (21.9),557 (30.8),,,
4,118 (5.9),9 (5.1),109 (6.0),,,
5,144 (7.2),19 (10.7),125 (6.9),,,
MELD_baseline (median [IQR]),"22.00 [16.00, 29.00]","21.00 [16.00, 29.00]","22.00 [17.00, 29.00]",0.356,nonnorm,2.9
MELD_Na_baseline (median [IQR]),"25.00 [19.00, 31.00]","25.00 [19.00, 31.00]","26.00 [19.00, 31.00]",0.432,nonnorm,2.9
site (%),,,,<0.001,,0
   baylor,215 (10.8),45 (25.3),170 (9.4),,,
   indiana,222 (11.2),7 (3.9),215 (11.9),,,
   jacksonville,109 (5.5),8 (4.5),101 (5.6),,,
   kentukey,170 (8.5),1 (0.6),169 (9.3),,,
   MCW,125 (6.3),9 (5.1),116 (6.4),,,
   mgh,362 (18.2),33 (18.5),329 (18.2),,,
   michigan,158 (7.9),7 (3.9),151 (8.3),,,
   oschner,123 (6.2),5 (2.8),118 (6.5),,,
   rochester,251 (12.6),12 (6.7),239 (13.2),,,
   usc,65 (3.3),30 (16.9),35 (1.9),,,
   yale,189 (9.5),21 (11.8),168 (9.3),,,
AKI_responders (%),,,,0.32,,0.7
   complete response,840 (42.5),66 (37.5),774 (43.0),,,
   no response,844 (42.7),84 (47.7),760 (42.2),,,
   partial response,292 (14.8),26 (14.8),266 (14.8),,,
clif_score (median [IQR]),"9.00 [8.00, 11.00]","9.00 [7.25, 10.00]","9.00 [8.00, 11.00]",0.049,nonnorm,0
MAP (median [IQR]),"69.00 [60.67, 77.33]","69.50 [59.92, 77.00]","69.00 [60.67, 77.33]",0.789,nonnorm,0
CLIF_C_Score (median [IQR]),"48.72 [42.22, 55.36]","45.56 [39.57, 53.52]","48.95 [42.72, 55.67]",<0.001,nonnorm,0
aclf_grade (%),,,,0.388,,0
1,298 (15.0),31 (17.4),267 (14.7),,,
2,603 (30.3),58 (32.6),545 (30.1),,,
3,1088 (54.7),89 (50.0),999 (55.2),,,
Encephalopathy = 1 (%),378 (19.0),38 (21.3),340 (18.8),0.462,,0
Alcoholic_hepatitis = 1 (%),66 (3.3),4 (2.2),62 (3.4),0.514,exact,0
HCC = 1 (%),33 (1.7),5 (2.8),28 (1.5),0.342,,0
New_diagnosis_of_cirrhosis = 1 (%),37 (1.9),3 (1.7),34 (1.9),1,exact,0
Transplant_evalutation = 1 (%),126 (6.3),22 (12.4),104 (5.7),0.001,,0
SBP = 1 (%),84 (4.2),6 (3.4),78 (4.3),0.691,,0
aki_stage_4 (%),,,,0.078,,0.7
1,683 (34.6),54 (30.7),629 (34.9),,,
2,457 (23.1),42 (23.9),415 (23.1),,,
3,486 (24.6),37 (21.0),449 (24.9),,,
4,350 (17.7),43 (24.4),307 (17.1),,,
death_discharge = 1 (%),367 (18.5),27 (15.3),340 (18.9),0.282,,0.5
baseline_creatinine (median [IQR]),"1.10 [0.87, 1.37]","1.00 [0.81, 1.28]","1.10 [0.88, 1.38]",0.034,nonnorm,16.1
admission_route (%),,,,0.82,exact,0.2
1,1507 (75.9),137 (77.0),1370 (75.8),,,
2,477 (24.0),41 (23.0),436 (24.1),,,
3,2 (0.1),0 (0.0),2 (0.1),,,
los (median [IQR]),"9.00 [4.00, 16.00]","8.00 [4.00, 17.00]","9.00 [4.00, 16.00]",0.932,nonnorm,0.2
