,Overall,0,1,p,test,Missing
5,57 (3.2),23 (2.0),34 (5.3),,,
sbp_admission (median [IQR]),"99.00 [88.00, 112.00]","100.00 [90.00, 113.00]","96.00 [84.00, 107.00]",<0.001,nonnorm,0
dbp_admission (median [IQR]),"53.00 [47.00, 61.00]","54.00 [48.00, 61.00]","52.00 [44.00, 59.00]",<0.001,nonnorm,0
rrt = 1 (%),307 (17.0),122 (10.7),185 (27.9),<0.001,,0.2
rrt_hemodialysis = 1 (%),135 (29.9),79 (39.1),56 (22.4),<0.001,,75
initial_rrt = 2 (%),215 (70.5),65 (54.2),150 (81.1),<0.001,exact,83.2
icu_admission = 1 (%),828 (45.8),403 (35.2),425 (64.0),<0.001,,0.1
hrs_vasoconstrictor = 1 (%),684 (37.8),346 (30.2),338 (50.8),<0.001,,0.1
pressor = 1 (%),529 (29.2),236 (20.6),293 (44.1),<0.001,,0.1
intubated = 1 (%),477 (26.4),197 (17.2),280 (42.2),<0.001,,0.1
respiratory_failure (%),,,,<0.001,,0.8
1,387 (21.5),129 (11.3),258 (39.1),,,
2,70 (3.9),38 (3.3),32 (4.8),,,
3,264 (14.7),165 (14.5),99 (15.0),,,
4,283 (15.7),198 (17.4),85 (12.9),,,
5,793 (44.1),607 (53.4),186 (28.2),,,
liver_transplant_listed = 1 (%),281 (15.5),232 (20.3),49 (7.4),<0.001,,0.1
liver_transplant = 1 (%),143 (26.6),141 (39.8),2 (1.1),<0.001,exact,70.3
kidney_transplant = 1 (%),24 (1.3),23 (2.0),1 (0.2),<0.001,exact,0.1
palliative_care = 1 (%),408 (22.5),129 (11.3),279 (42.0),<0.001,,0.1
discharge_disposition (%),,,,<0.001,,0.3
1,331 (18.3),7 (0.6),324 (48.7),,,
2,936 (51.9),812 (71.2),124 (18.6),,,
3,301 (16.7),241 (21.1),60 (9.0),,,
4,237 (13.1),80 (7.0),157 (23.6),,,
code_status (%),,,,<0.001,,0.4
1,1148 (63.6),975 (85.2),173 (26.2),,,
2,374 (20.7),110 (9.6),264 (40.0),,,
3,282 (15.6),59 (5.2),223 (33.8),,,
Akin (%),,,,<0.001,,0.6
1,629 (34.9),490 (43.0),139 (21.1),,,
2,415 (23.1),278 (24.4),137 (20.8),,,
3,756 (42.0),372 (32.6),384 (58.2),,,
final_type_of_aki (%),,,,<0.001,,0
1,804 (44.4),629 (54.9),175 (26.3),,,
2,216 (11.9),108 (9.4),108 (16.2),,,
3,557 (30.8),261 (22.8),296 (44.5),,,
4,109 (6.0),85 (7.4),24 (3.6),,,
5,125 (6.9),63 (5.5),62 (9.3),,,
MELD_baseline (median [IQR]),"22.00 [17.00, 29.00]","21.00 [15.00, 27.00]","25.00 [20.00, 32.00]",<0.001,nonnorm,3
MELD_Na_baseline (median [IQR]),"26.00 [19.00, 31.00]","24.00 [18.00, 30.00]","28.00 [22.00, 34.00]",<0.001,nonnorm,3
site (%),,,,<0.001,,0
   baylor,170 (9.4),119 (10.4),51 (7.7),,,
   indiana,215 (11.9),102 (8.9),113 (17.0),,,
   jacksonville,101 (5.6),84 (7.3),17 (2.6),,,
   kentukey,169 (9.3),83 (7.2),86 (12.9),,,
   MCW,116 (6.4),65 (5.7),51 (7.7),,,
   mgh,329 (18.2),231 (20.2),98 (14.7),,,
   michigan,151 (8.3),106 (9.2),45 (6.8),,,
   oschner,118 (6.5),63 (5.5),55 (8.3),,,
   rochester,239 (13.2),164 (14.3),75 (11.3),,,
   usc,35 (1.9),23 (2.0),12 (1.8),,,
   yale,168 (9.3),106 (9.2),62 (9.3),,,
AKI_responders (%),,,,<0.001,,0.6
   complete response,774 (43.0),638 (56.0),136 (20.6),,,
   no response,760 (42.2),330 (28.9),430 (65.2),,,
   partial response,266 (14.8),172 (15.1),94 (14.2),,,
clif_score (median [IQR]),"9.00 [8.00, 11.00]","8.00 [7.00, 10.00]","10.00 [9.00, 12.00]",<0.001,nonnorm,0
