,Overall,Black or African American,White,p,test,Missing
sbp_admission (median [IQR]),"99.00 [86.25, 113.00]","102.00 [90.00, 118.00]","97.50 [84.75, 110.25]",0.005,nonnorm,0
dbp_admission (median [IQR]),"54.00 [48.00, 62.00]","57.50 [51.00, 67.00]","53.00 [45.75, 60.00]",<0.001,nonnorm,0
rrt = 1 (%),87 (16.7),31 (17.8),56 (16.2),0.73,,0.4
rrt_hemodialysis = 1 (%),42 (42.0),10 (23.3),32 (56.1),0.002,,80.8
initial_rrt = 2 (%),54 (62.8),23 (76.7),31 (55.4),0.086,,83.5
icu_admission = 1 (%),233 (44.6),74 (42.5),159 (45.7),0.554,,0
hrs_vasoconstrictor = 1 (%),138 (26.5),52 (29.9),86 (24.8),0.255,,0.2
pressor = 1 (%),162 (31.0),50 (28.7),112 (32.2),0.482,,0
intubated = 1 (%),126 (24.1),44 (25.3),82 (23.6),0.745,,0
respiratory_failure (%),,,,0.104,,1.7
1,101 (19.7),37 (21.3),64 (18.9),,,
2,23 (4.5),9 (5.2),14 (4.1),,,
3,56 (10.9),22 (12.6),34 (10.0),,,
4,105 (20.5),43 (24.7),62 (18.3),,,
5,228 (44.4),63 (36.2),165 (48.7),,,
liver_transplant_listed = 1 (%),65 (12.5),15 (8.6),50 (14.4),0.081,,0.2
liver_transplant = 1 (%),22 (19.6),7 (13.7),15 (24.6),0.229,,78.5
kidney_transplant = 1 (%),5 (1.0),4 (2.3),1 (0.3),0.044,exact,0
palliative_care = 1 (%),107 (20.5),41 (23.7),66 (19.0),0.252,,0.2
discharge_disposition (%),,,,0.057,,0.2
1,103 (19.8),39 (22.5),64 (18.4),,,
2,266 (51.1),85 (49.1),181 (52.0),,,
3,99 (19.0),25 (14.5),74 (21.3),,,
4,53 (10.2),24 (13.9),29 (8.3),,,
code_status (%),,,,0.507,,0.6
1,345 (66.5),111 (63.8),234 (67.8),,,
2,100 (19.3),34 (19.5),66 (19.1),,,
3,74 (14.3),29 (16.7),45 (13.0),,,
Akin (%),,,,0.632,,0.4
1,175 (33.7),55 (31.6),120 (34.7),,,
2,121 (23.3),39 (22.4),82 (23.7),,,
3,224 (43.1),80 (46.0),144 (41.6),,,
final_type_of_aki (%),,,,0.976,,0
1,224 (42.9),75 (43.1),149 (42.8),,,
2,37 (7.1),14 (8.0),23 (6.6),,,
3,182 (34.9),60 (34.5),122 (35.1),,,
4,42 (8.0),13 (7.5),29 (8.3),,,
5,37 (7.1),12 (6.9),25 (7.2),,,
MELD_baseline (median [IQR]),"21.00 [15.00, 27.00]","22.00 [16.50, 28.00]","21.00 [15.00, 27.00]",0.123,nonnorm,3.1
MELD_Na_baseline (median [IQR]),"24.00 [18.00, 30.00]","25.00 [20.00, 30.00]","24.00 [18.00, 29.00]",0.143,nonnorm,0
site (%),,,,<0.001,,0
   baylor,34 (6.5),28 (16.1),6 (1.7),,,
   indiana,14 (2.7),10 (5.7),4 (1.1),,,
   jacksonville,16 (3.1),8 (4.6),8 (2.3),,,
   kentukey,14 (2.7),13 (7.5),1 (0.3),,,
   MCW,28 (5.4),25 (14.4),3 (0.9),,,
   mgh,65 (12.5),32 (18.4),33 (9.5),,,
   michigan,99 (19.0),12 (6.9),87 (25.0),,,
   oschner,31 (5.9),19 (10.9),12 (3.4),,,
   rochester,89 (17.0),2 (1.1),87 (25.0),,,
   usc,14 (2.7),2 (1.1),12 (3.4),,,
   yale,118 (22.6),23 (13.2),95 (27.3),,,
AKI_responders (%),,,,0.085,,0.4
   complete response,222 (42.7),68 (39.1),154 (44.5),,,
   no response,217 (41.7),84 (48.3),133 (38.4),,,
   partial response,81 (15.6),22 (12.6),59 (17.1),,,
clif_score (median [IQR]),"9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]",0.421,nonnorm,0
MAP (median [IQR]),"70.33 [61.33, 78.00]","73.00 [66.33, 81.58]","68.67 [59.67, 76.33]",<0.001,nonnorm,0
CLIF_C_Score (median [IQR]),"47.55 [41.55, 54.46]","47.26 [42.17, 54.64]","48.00 [41.22, 54.25]",0.725,nonnorm,0
aclf_grade (%),,,,0.947,,0
1,98 (18.8),33 (19.0),65 (18.7),,,
2,176 (33.7),57 (32.8),119 (34.2),,,
3,248 (47.5),84 (48.3),164 (47.1),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]",0.287,nonnorm,0
time_90days (median [IQR]),"90.00 [20.00, 90.00]","86.50 [15.00, 90.00]","90.00 [27.00, 90.00]",0.021,nonnorm,0
Encephalopathy = 1 (%),89 (17.0),36 (20.7),53 (15.2),0.15,,0
Alcoholic_hepatitis = 1 (%),17 (3.3),6 (3.4),11 (3.2),1,,0
HCC = 1 (%),14 (2.7),4 (2.3),10 (2.9),0.783,exact,0
New_diagnosis_of_cirrhosis = 1 (%),8 (1.5),2 (1.1),6 (1.7),0.725,exact,0
Transplant_evalutation = 1 (%),24 (4.6),8 (4.6),16 (4.6),1,,0
SBP = 1 (%),21 (4.0),6 (3.4),15 (4.3),0.813,,0
aki_stage_4 (%),,,,0.821,,0.4
1,175 (33.7),55 (31.6),120 (34.7),,,
2,121 (23.3),39 (22.4),82 (23.7),,,
3,137 (26.3),49 (28.2),88 (25.4),,,
4,87 (16.7),31 (17.8),56 (16.2),,,
death_discharge = 1 (%),102 (19.7),42 (24.3),60 (17.3),0.079,,0.6
baseline_creatinine (median [IQR]),"1.12 [0.90, 1.40]","1.12 [0.90, 1.40]","1.12 [0.89, 1.39]",0.583,nonnorm,12.6
admission_route (%),,,,0.117,exact,0
1,430 (82.4),151 (86.8),279 (80.2),,,
2,91 (17.4),23 (13.2),68 (19.5),,,
3,1 (0.2),0 (0.0),1 (0.3),,,
los (median [IQR]),"9.00 [5.00, 16.00]","9.00 [5.00, 15.00]","9.00 [5.00, 17.00]",0.891,nonnorm,0
