,Overall,0,1,p,test,Missing
5,62 (3.2),27 (2.2),35 (5.1),,,
sbp_admission (median [IQR]),"99.00 [88.00, 112.00]","100.00 [90.00, 113.00]","95.00 [84.00, 107.00]",<0.001,nonnorm,0
dbp_admission (median [IQR]),"53.00 [47.00, 61.00]","54.00 [48.00, 61.75]","52.00 [44.00, 59.00]",<0.001,nonnorm,0
rrt = 1 (%),350 (17.6),144 (11.3),206 (29.0),<0.001,,0.2
rrt_hemodialysis = 1 (%),159 (32.1),95 (42.2),64 (23.6),<0.001,,75.1
initial_rrt = 2 (%),247 (71.0),80 (56.3),167 (81.1),<0.001,,82.5
icu_admission = 1 (%),908 (45.7),449 (35.2),459 (64.6),<0.001,,0.1
hrs_vasoconstrictor = 1 (%),760 (38.2),393 (30.8),367 (51.6),<0.001,,0.1
pressor = 1 (%),580 (29.2),259 (20.3),321 (45.1),<0.001,,0.1
intubated = 1 (%),516 (26.0),215 (16.8),301 (42.5),<0.001,,0.1
respiratory_failure (%),,,,<0.001,,0.8
1,420 (21.3),143 (11.3),277 (39.2),,,
2,75 (3.8),39 (3.1),36 (5.1),,,
3,282 (14.3),176 (13.9),106 (15.0),,,
4,313 (15.9),221 (17.4),92 (13.0),,,
5,884 (44.8),689 (54.3),195 (27.6),,,
liver_transplant_listed = 1 (%),312 (15.7),259 (20.3),53 (7.5),<0.001,,0.1
liver_transplant = 1 (%),164 (27.5),162 (40.5),2 (1.0),<0.001,exact,70
kidney_transplant = 1 (%),27 (1.4),26 (2.0),1 (0.1),<0.001,exact,0.1
palliative_care = 1 (%),427 (21.5),137 (10.7),290 (40.8),<0.001,,0.1
discharge_disposition (%),,,,<0.001,,0.3
1,359 (18.1),7 (0.6),352 (49.5),,,
2,1045 (52.7),910 (71.5),135 (19.0),,,
3,332 (16.7),269 (21.1),63 (8.9),,,
4,247 (12.5),86 (6.8),161 (22.6),,,
code_status (%),,,,<0.001,,0.4
1,1282 (64.7),1093 (85.7),189 (26.8),,,
2,399 (20.1),118 (9.2),281 (39.8),,,
3,301 (15.2),65 (5.1),236 (33.4),,,
Akin (%),,,,<0.001,,0.7
1,683 (34.6),536 (42.2),147 (20.8),,,
2,457 (23.1),313 (24.6),144 (20.4),,,
3,836 (42.3),421 (33.1),415 (58.8),,,
final_type_of_aki (%),,,,<0.001,,0
1,893 (44.9),698 (54.6),195 (27.4),,,
2,238 (12.0),124 (9.7),114 (16.0),,,
3,596 (30.0),285 (22.3),311 (43.7),,,
4,118 (5.9),92 (7.2),26 (3.7),,,
5,144 (7.2),79 (6.2),65 (9.1),,,
MELD_baseline (median [IQR]),"22.00 [16.00, 29.00]","21.00 [15.00, 27.00]","25.00 [20.00, 32.00]",<0.001,nonnorm,2.9
MELD_Na_baseline (median [IQR]),"25.00 [19.00, 31.00]","24.00 [18.00, 30.00]","28.00 [22.75, 34.00]",<0.001,nonnorm,2.9
site (%),,,,<0.001,,0
   baylor,215 (10.8),151 (11.8),64 (9.0),,,
   indiana,222 (11.2),106 (8.3),116 (16.3),,,
   jacksonville,109 (5.5),92 (7.2),17 (2.4),,,
   kentukey,170 (8.5),84 (6.6),86 (12.1),,,
   MCW,125 (6.3),70 (5.5),55 (7.7),,,
   mgh,362 (18.2),253 (19.8),109 (15.3),,,
   michigan,158 (7.9),113 (8.8),45 (6.3),,,
   oschner,123 (6.2),65 (5.1),58 (8.2),,,
   rochester,251 (12.6),176 (13.8),75 (10.5),,,
   usc,65 (3.3),48 (3.8),17 (2.4),,,
   yale,189 (9.5),120 (9.4),69 (9.7),,,
AKI_responders (%),,,,<0.001,,0.7
   complete response,840 (42.5),696 (54.8),144 (20.4),,,
   no response,844 (42.7),380 (29.9),464 (65.7),,,
   partial response,292 (14.8),194 (15.3),98 (13.9),,,
clif_score (median [IQR]),"9.00 [8.00, 11.00]","8.00 [7.00, 10.00]","10.00 [9.00, 12.00]",<0.001,nonnorm,0
MAP (median [IQR]),"69.00 [60.67, 77.33]","70.00 [62.33, 78.25]","66.67 [58.17, 74.33]",<0.001,nonnorm,0
CLIF_C_Score (median [IQR]),"48.72 [42.22, 55.36]","45.89 [40.50, 52.39]","53.33 [47.28, 59.56]",<0.001,nonnorm,0
aclf_grade (%),,,,<0.001,,0
1,298 (15.0),256 (20.0),42 (5.9),,,
2,603 (30.3),455 (35.6),148 (20.8),,,
3,1088 (54.7),567 (44.4),521 (73.3),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]",<0.001,nonnorm,0
time_90days (median [IQR]),"78.00 [16.00, 90.00]","90.00 [86.25, 90.00]","17.00 [8.00, 38.00]",<0.001,nonnorm,0
Encephalopathy = 1 (%),378 (19.0),217 (17.0),161 (22.6),0.002,,0
Alcoholic_hepatitis = 1 (%),66 (3.3),39 (3.1),27 (3.8),0.448,,0
HCC = 1 (%),33 (1.7),13 (1.0),20 (2.8),0.005,,0
New_diagnosis_of_cirrhosis = 1 (%),37 (1.9),21 (1.6),16 (2.3),0.431,,0
Transplant_evalutation = 1 (%),126 (6.3),93 (7.3),33 (4.6),0.027,,0
SBP = 1 (%),84 (4.2),45 (3.5),39 (5.5),0.049,,0
aki_stage_4 (%),,,,<0.001,,0.7
1,683 (34.6),536 (42.2),147 (20.8),,,
2,457 (23.1),313 (24.6),144 (20.4),,,
3,486 (24.6),277 (21.8),209 (29.6),,,
4,350 (17.7),144 (11.3),206 (29.2),,,
death_discharge = 1 (%),367 (18.5),7 (0.6),360 (50.8),<0.001,,0.5
baseline_creatinine (median [IQR]),"1.10 [0.87, 1.37]","1.14 [0.90, 1.40]","1.00 [0.80, 1.30]",<0.001,nonnorm,16.1
