"","Overall","NHW","B","HW","NWNB","p","test","Missing"
"   oschner","108 (5.8)","79 (5.4)","21 (12.5)","3 (3.2)","5 (3.6)","","",""
"   rochester","246 (13.1)","219 (14.8)","2 (1.2)","6 (6.5)","19 (13.7)","","",""
"   usc","65 (3.5)","18 (1.2)","2 (1.2)","10 (10.8)","35 (25.2)","","",""
"   yale","174 (9.3)","129 (8.7)","23 (13.7)","9 (9.7)","13 (9.4)","","",""
"AKI_responders (%)","","","","","","0.067","","0.6"
"   complete response","787 (42.2)","642 (43.8)","65 (38.7)","36 (38.7)","44 (31.9)","","",""
"   no response","801 (42.9)","603 (41.1)","82 (48.8)","45 (48.4)","71 (51.4)","","",""
"   partial response","277 (14.9)","221 (15.1)","21 (12.5)","12 (12.9)","23 (16.7)","","",""
"clif_score (median [IQR])","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [7.00, 10.00]","9.00 [8.00, 12.00]","0.101","nonnorm","0.0"
"MAP (median [IQR])","69.00 [60.67, 77.08]","68.33 [60.33, 76.67]","73.17 [66.33, 81.42]","70.67 [60.67, 81.00]","68.67 [60.83, 74.83]","<0.001","nonnorm","0.0"
"CLIF_C_Score (median [IQR])","48.81 [42.42, 55.47]","49.11 [43.01, 55.74]","47.26 [42.33, 54.76]","44.12 [39.27, 51.77]","48.32 [41.24, 56.40]","0.001","nonnorm","0.0"
"aclf_grade (%)","","","","","","0.345","","0.0"
"   1","271 (14.4)","204 (13.8)","32 (19.0)","17 (18.3)","18 (12.9)","","",""
"   2","579 (30.9)","448 (30.4)","54 (32.1)","31 (33.3)","46 (33.1)","","",""
"   3","1026 (54.7)","824 (55.8)","82 (48.8)","45 (48.4)","75 (54.0)","","",""
"status_90days (median [IQR])","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.050","nonnorm","0.0"
"time_90days (median [IQR])","77.00 [17.00, 90.00]","77.00 [17.00, 90.00]","82.50 [15.00, 90.00]","90.00 [22.00, 90.00]","53.00 [14.00, 90.00]","0.350","nonnorm","0.0"
"Encephalopathy = 1 (%)","359 (19.1)","273 (18.5)","35 (20.8)","22 (23.7)","29 (20.9)","0.532","","0.0"
"Alcoholic_hepatitis = 1 (%)","62 (3.3)","52 (3.5)","6 (3.6)","2 (2.2)","2 (1.4)","0.540","","0.0"
"HCC = 1 (%)","32 (1.7)","22 (1.5)","4 (2.4)","1 (1.1)","5 (3.6)","0.256","","0.0"
"New_diagnosis_of_cirrhosis = 1 (%)","35 (1.9)","29 (2.0)","1 (0.6)","0 (0.0)","5 (3.6)","0.133","","0.0"
"Transplant_evalutation = 1 (%)","115 (6.1)","74 (5.0)","8 (4.8)","10 (10.8)","23 (16.5)","<0.001","","0.0"
"SBP (median [IQR])","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.650","nonnorm","0.0"
"aki_stage_4 (%)","","","","","","0.001","","0.6"
"   1","637 (34.2)","515 (35.1)","53 (31.5)","31 (33.3)","38 (27.5)","","",""
"   2","437 (23.4)","348 (23.7)","36 (21.4)","24 (25.8)","29 (21.0)","","",""
"   3","460 (24.7)","367 (25.0)","48 (28.6)","19 (20.4)","26 (18.8)","","",""
"   4","331 (17.7)","236 (16.1)","31 (18.5)","19 (20.4)","45 (32.6)","","",""
"death_discharge = 1 (%)","349 (18.7)","268 (18.2)","41 (24.6)","10 (10.8)","30 (21.7)","0.034","","0.5"
"baseline_creatinine (median [IQR])","1.10 [0.86, 1.35]","1.10 [0.87, 1.36]","1.12 [0.90, 1.40]","1.02 [0.85, 1.48]","1.00 [0.80, 1.26]","0.053","nonnorm","15.7"
"admission_route (%)","","","","","","0.037","","0.2"
"   1","1427 (76.2)","1106 (75.0)","144 (86.7)","75 (80.6)","102 (73.4)","","",""
"   2","444 (23.7)","367 (24.9)","22 (13.3)","18 (19.4)","37 (26.6)","","",""
"   3","2 (0.1)","2 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"los (median [IQR])","9.00 [4.00, 16.00]","9.00 [4.00, 16.00]","9.00 [5.00, 15.00]","8.00 [4.00, 16.00]","9.00 [5.00, 19.00]","0.532","nonnorm","0.1"
"rrt_crrt = 1 (%)","215 (50.8)","165 (48.0)","24 (57.1)","9 (64.3)","17 (73.9)","0.052","","77.5"
"days_icu (median [IQR])","4.00 [2.00, 9.00]","4.00 [2.00, 9.00]","4.00 [1.50, 10.50]","4.00 [2.00, 9.25]","2.00 [1.00, 9.00]","0.654","nonnorm","54.0"
"readmissions (%)","","","","","","0.054","","9.9"
"   0","940 (55.6)","767 (56.3)","95 (60.9)","22 (31.0)","56 (54.9)","","",""
"   1","389 (23.0)","304 (22.3)","29 (18.6)","26 (36.6)","30 (29.4)","","",""
"   2","181 (10.7)","148 (10.9)","17 (10.9)","11 (15.5)","5 (4.9)","","",""
"   3","94 (5.6)","78 (5.7)","8 (5.1)","5 (7.0)","3 (2.9)","","",""
"   4","45 (2.7)","34 (2.5)","5 (3.2)","4 (5.6)","2 (2.0)","","",""
"   5","26 (1.5)","19 (1.4)","2 (1.3)","3 (4.2)","2 (2.0)","","",""
"   6","6 (0.4)","4 (0.3)","0 (0.0)","0 (0.0)","2 (2.0)","","",""
"   7","4 (0.2)","3 (0.2)","0 (0.0)","0 (0.0)","1 (1.0)","","",""
"   8","1 (0.1)","1 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"   9","3 (0.2)","2 (0.1)","0 (0.0)","0 (0.0)","1 (1.0)","","",""
"   14","1 (0.1)","1 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"   15","1 (0.1)","1 (0.1)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"cpr_given = 1 (%)","52 (2.9)","39 (2.7)","6 (3.6)","4 (4.8)","3 (2.9)","0.653","","3.8"
"race_cat_4 (%)","","","","","","<0.001","","0.0"
"   NHW","1476 (78.7)","1476 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"   B","168 (9.0)","0 (0.0)","168 (100.0)","0 (0.0)","0 (0.0)","","",""
"   HW","93 (5.0)","0 (0.0)","0 (0.0)","93 (100.0)","0 (0.0)","","",""
"   NWNB","139 (7.4)","0 (0.0)","0 (0.0)","0 (0.0)","139 (100.0)","","",""
"meld_3 (median [IQR])","25.89 [18.06, 33.19]","25.93 [17.98, 33.26]","25.71 [19.09, 31.55]","26.16 [14.58, 34.37]","26.05 [18.57, 34.40]","0.743","nonnorm","0.0"
