"","level","Overall","White","Black or African American","Other","p","test","Missing"
"MELD_baseline (median [IQR])","","22.00 [16.00, 29.00]","22.00 [16.00, 29.00]","22.00 [17.00, 28.00]","22.00 [17.00, 30.00]","0.807","nonnorm","0.0"
"MELD_Na_baseline (median [IQR])","","25.00 [19.00, 31.00]","25.00 [19.00, 31.00]","25.00 [20.00, 30.00]","26.00 [20.00, 32.00]","0.828","nonnorm","0.0"
"site (%)","baylor","214 (11.4)","172 (11.0)","28 (16.7)","14 (10.1)","<0.001","","0.0"
"","indiana","211 (11.2)","198 (12.6)","10 (6.0)","3 (2.2)","","",""
"","jacksonville","103 (5.5)","93 (5.9)","7 (4.2)","3 (2.2)","","",""
"","kentukey","154 (8.2)","141 (9.0)","13 (7.7)","0 (0.0)","","",""
"","MCW","123 (6.6)","82 (5.2)","24 (14.3)","17 (12.2)","","",""
"","mgh","338 (18.0)","283 (18.0)","27 (16.1)","28 (20.1)","","",""
"","michigan","140 (7.5)","127 (8.1)","11 (6.5)","2 (1.4)","","",""
"","oschner","108 (5.8)","82 (5.2)","21 (12.5)","5 (3.6)","","",""
"","rochester","246 (13.1)","225 (14.3)","2 (1.2)","19 (13.7)","","",""
"","usc","65 (3.5)","28 (1.8)","2 (1.2)","35 (25.2)","","",""
"","yale","174 (9.3)","138 (8.8)","23 (13.7)","13 (9.4)","","",""
"AKI_responders (%)","complete response","787 (42.2)","678 (43.5)","65 (38.7)","44 (31.9)","0.042","","0.6"
"","no response","801 (42.9)","648 (41.6)","82 (48.8)","71 (51.4)","","",""
"","partial response","277 (14.9)","233 (14.9)","21 (12.5)","23 (16.7)","","",""
"clif_score (median [IQR])","","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 12.00]","0.655","nonnorm","0.0"
"MAP (median [IQR])","","69.00 [60.67, 77.08]","68.67 [60.33, 77.00]","73.17 [66.33, 81.42]","68.67 [60.83, 74.83]","<0.001","nonnorm","0.0"
"CLIF_C_Score (median [IQR])","","48.81 [42.42, 55.47]","48.99 [42.55, 55.50]","47.26 [42.33, 54.76]","48.32 [41.24, 56.40]","0.640","nonnorm","0.0"
"aclf_grade (%)","1","271 (14.4)","221 (14.1)","32 (19.0)","18 (12.9)","0.354","","0.0"
"","2","579 (30.9)","479 (30.5)","54 (32.1)","46 (33.1)","","",""
"","3","1026 (54.7)","869 (55.4)","82 (48.8)","75 (54.0)","","",""
"status_90days (median [IQR])","","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.127","nonnorm","0.0"
"time_90days (median [IQR])","","77.00 [17.00, 90.00]","78.00 [17.00, 90.00]","82.50 [15.00, 90.00]","53.00 [14.00, 90.00]","0.495","nonnorm","0.0"
"Encephalopathy (%)","0","1517 (80.9)","1274 (81.2)","133 (79.2)","110 (79.1)","0.707","","0.0"
"","1","359 (19.1)","295 (18.8)","35 (20.8)","29 (20.9)","","",""
"Alcoholic_hepatitis (%)","0","1814 (96.7)","1515 (96.6)","162 (96.4)","137 (98.6)","0.440","","0.0"
"","1","62 (3.3)","54 (3.4)","6 (3.6)","2 (1.4)","","",""
"HCC (%)","0","1844 (98.3)","1546 (98.5)","164 (97.6)","134 (96.4)","0.091","exact","0.0"
"","1","32 (1.7)","23 (1.5)","4 (2.4)","5 (3.6)","","",""
"New_diagnosis_of_cirrhosis (%)","0","1841 (98.1)","1540 (98.2)","167 (99.4)","134 (96.4)","0.153","exact","0.0"
"","1","35 (1.9)","29 (1.8)","1 (0.6)","5 (3.6)","","",""
"Transplant_evalutation (%)","0","1761 (93.9)","1485 (94.6)","160 (95.2)","116 (83.5)","<0.001","","0.0"
"","1","115 (6.1)","84 (5.4)","8 (4.8)","23 (16.5)","","",""
"SBP (median [IQR])","","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.812","nonnorm","0.0"
"aki_stage_4 (%)","1","637 (34.2)","546 (35.0)","53 (31.5)","38 (27.5)","<0.001","","0.6"
"","2","437 (23.4)","372 (23.9)","36 (21.4)","29 (21.0)","","",""
"","3","460 (24.7)","386 (24.8)","48 (28.6)","26 (18.8)","","",""
"","4","331 (17.7)","255 (16.4)","31 (18.5)","45 (32.6)","","",""
"death_discharge (%)","0","1518 (81.3)","1284 (82.2)","126 (75.4)","108 (78.3)","0.066","","0.5"
"","1","349 (18.7)","278 (17.8)","41 (24.6)","30 (21.7)","","",""
"baseline_creatinine (median [IQR])","","1.10 [0.86, 1.35]","1.10 [0.87, 1.37]","1.12 [0.90, 1.40]","1.00 [0.80, 1.26]","0.022","nonnorm","15.7"
"admission_route (%)","1","1427 (76.2)","1181 (75.3)","144 (86.7)","102 (73.4)","0.019","","0.2"
"","2","444 (23.7)","385 (24.6)","22 (13.3)","37 (26.6)","","",""
"","3","2 (0.1)","2 (0.1)","0 (0.0)","0 (0.0)","","",""
"los (median [IQR])","","9.00 [4.00, 16.00]","9.00 [4.00, 16.00]","9.00 [5.00, 15.00]","9.00 [5.00, 19.00]","0.463","nonnorm","0.1"
"admission_route (%)","1","1427 (76.2)","1181 (75.3)","144 (86.7)","102 (73.4)","0.019","","0.2"
"","2","444 (23.7)","385 (24.6)","22 (13.3)","37 (26.6)","","",""
"","3","2 (0.1)","2 (0.1)","0 (0.0)","0 (0.0)","","",""
"peak_creatinine (median [IQR])","","2.52 [1.92, 3.63]","2.50 [1.91, 3.60]","2.86 [2.09, 4.02]","2.42 [1.88, 3.55]","0.038","nonnorm","0.5"
"rrt_crrt (%)","0","208 (49.2)","184 (51.4)","18 (42.9)","6 (26.1)","0.043","","77.5"
"","1","215 (50.8)","174 (48.6)","24 (57.1)","17 (73.9)","","",""
"initial_rrt (%)","1","97 (29.5)","83 (32.5)","7 (23.3)","7 (15.9)","0.061","","82.5"
"","2","232 (70.5)","172 (67.5)","23 (76.7)","37 (84.1)","","",""
"days_icu (median [IQR])","","4.00 [2.00, 9.00]","4.00 [2.00, 9.00]","4.00 [1.50, 10.50]","2.00 [1.00, 9.00]","0.499","nonnorm","54.0"
"intubated (%)","0","1387 (74.0)","1157 (73.8)","127 (75.6)","103 (74.6)","0.866","","0.1"
"","1","487 (26.0)","411 (26.2)","41 (24.4)","35 (25.4)","","",""
