"","level","Overall","White","Black or African American","Other","p","test","Missing"
"n","","1876","1569","168","139","","",""
"intubated (%)","0","1387 (74.0)","1157 (73.8)","127 (75.6)","103 (74.6)","0.866","","0.1"
"","1","487 (26.0)","411 (26.2)","41 (24.4)","35 (25.4)","","",""
"respiratory_failure (%)","1","396 (21.3)","330 (21.2)","35 (20.8)","31 (22.3)","0.117","","0.7"
"","2","69 (3.7)","57 (3.7)","8 (4.8)","4 (2.9)","","",""
"","3","264 (14.2)","226 (14.5)","21 (12.5)","17 (12.2)","","",""
"","4","300 (16.1)","241 (15.5)","41 (24.4)","18 (12.9)","","",""
"","5","833 (44.7)","701 (45.1)","63 (37.5)","69 (49.6)","","",""
"liver_transplant_listed (%)","0","1568 (83.7)","1309 (83.5)","154 (91.7)","105 (75.5)","0.001","","0.1"
"","1","306 (16.3)","258 (16.5)","14 (8.3)","34 (24.5)","","",""
"liver_transplant (%)","0","412 (72.0)","327 (71.2)","42 (85.7)","43 (67.2)","0.066","","69.5"
"","1","160 (28.0)","132 (28.8)","7 (14.3)","21 (32.8)","","",""
"kidney_transplant (%)","0","1848 (98.6)","1550 (98.9)","164 (97.6)","134 (96.4)","0.029","exact","0.1"
"","1","27 (1.4)","18 (1.1)","4 (2.4)","5 (3.6)","","",""
"palliative_care (%)","0","1469 (78.3)","1224 (78.0)","127 (76.0)","118 (84.9)","0.127","","0.1"
"","1","406 (21.7)","345 (22.0)","40 (24.0)","21 (15.1)","","",""
"discharge_disposition (%)","1","342 (18.3)","273 (17.5)","38 (22.8)","31 (22.3)","0.076","","0.3"
"","2","979 (52.4)","816 (52.2)","83 (49.7)","80 (57.6)","","",""
"","3","316 (16.9)","276 (17.6)","22 (13.2)","18 (12.9)","","",""
"","4","233 (12.5)","199 (12.7)","24 (14.4)","10 (7.2)","","",""
"code_status (%)","1","1208 (64.6)","1010 (64.6)","106 (63.1)","92 (66.2)","0.605","","0.3"
"","2","379 (20.3)","313 (20.0)","34 (20.2)","32 (23.0)","","",""
"","3","283 (15.1)","240 (15.4)","28 (16.7)","15 (10.8)","","",""
"Akin (%)","1","637 (34.2)","546 (35.0)","53 (31.5)","38 (27.5)","0.120","","0.6"
"","2","437 (23.4)","372 (23.9)","36 (21.4)","29 (21.0)","","",""
"","3","791 (42.4)","641 (41.1)","79 (47.0)","71 (51.4)","","",""
"final_type_of_aki (%)","1","834 (44.5)","705 (44.9)","73 (43.5)","56 (40.3)","0.314","","0.0"
"","2","227 (12.1)","195 (12.4)","15 (8.9)","17 (12.2)","","",""
"","3","565 (30.1)","469 (29.9)","56 (33.3)","40 (28.8)","","",""
"","4","109 (5.8)","89 (5.7)","12 (7.1)","8 (5.8)","","",""
"","5","141 (7.5)","111 (7.1)","12 (7.1)","18 (12.9)","","",""
